
time,gFx,gFy,gFz,wx,wy,wz,
0.096893,-0.1752,0.8350,0.5279,-0.0116,0.1808,0.0727,
0.197453,-0.2003,0.8126,0.5793,0.1332,0.5730,0.1063,
0.306038,-0.2250,0.8409,0.5079,0.1026,0.3995,0.0812,
0.406316,-0.1928,0.8160,0.4715,-0.0635,0.0501,-0.0305,
0.506330,-0.2345,0.8331,0.5409,-0.0757,-0.0599,-0.0599,
0.607118,-0.2226,0.8363,0.5255,-0.0434,-0.0556,-0.0330,
0.708702,-0.2223,0.8211,0.5336,-0.0189,-0.0385,-0.0391,
0.809750,-0.2340,0.8253,0.5319,-0.0043,-0.0519,-0.0122,
0.909611,-0.2204,0.8192,0.5216,-0.0336,-0.0568,-0.0116,
1.009773,-0.2187,0.8170,0.5421,-0.0593,-0.1387,-0.0550,
1.110309,-0.2235,0.8123,0.5443,0.0531,-0.0483,-0.0049,
1.210963,-0.1879,0.8148,0.5292,0.0214,-0.0739,-0.0226,
1.313012,-0.2143,0.8162,0.5406,-0.0446,0.0159,0.0049,
1.413607,-0.2072,0.8094,0.5524,-0.0312,-0.0684,-0.0104,
1.514901,-0.2231,0.8226,0.5563,-0.0440,-0.0513,-0.0159,
1.615519,-0.1820,0.8096,0.5331,0.0134,-0.0189,0.0189,
1.716554,-0.1913,0.8106,0.5695,-0.0049,-0.0855,-0.0092,
1.817333,-0.2008,0.8050,0.5257,-0.0929,0.0965,-0.0324,
1.916162,-0.2306,0.8155,0.5990,-0.1161,-0.1362,-0.0244,
2.019207,-0.2118,0.8055,0.5744,0.0764,0.0495,0.0189,
