
time,gFx,gFy,gFz,wx,wy,wz,
0.097917,0.6994,0.7068,0.0601,0.0305,-0.0299,-0.0757,
0.198020,0.6606,0.7288,0.0384,0.3500,0.0672,-0.0061,
0.298273,0.6601,0.7901,-0.0445,0.1038,-0.0990,-0.1594,
0.403308,0.6386,0.7928,-0.0391,0.0018,0.0024,-0.0415,
0.499640,0.6513,0.7657,0.0037,-0.0226,0.0232,0.0244,
0.601521,0.6650,0.7495,0.0056,0.0110,-0.0257,-0.0086,
0.706958,0.6474,0.7813,-0.0322,0.0012,0.0049,0.0391,
0.805964,0.6479,0.7920,-0.0205,-0.1032,0.0287,0.0977,
0.906574,0.6521,0.7671,0.0078,-0.0922,0.1179,0.2217,
1.004694,0.7085,0.7012,0.0398,-0.0690,0.0861,0.2254,
1.108357,0.7312,0.6765,0.0511,0.0269,0.0250,0.1075,
1.206597,0.7285,0.6968,0.0149,0.0330,0.0153,0.0281,
1.306682,0.7107,0.7063,0.0357,-0.0159,0.0031,-0.0299,
1.409059,0.6941,0.7192,0.0413,-0.0299,-0.0800,-0.0531,
1.505993,0.6887,0.7422,-0.0445,0.1301,0.0483,0.1301,
