
time,gFx,gFy,gFz,wx,wy,wz,
0.097468,-0.5189,0.8421,-0.1002,0.0049,0.0483,-0.0012,
0.197539,-0.5311,0.8463,-0.1112,-0.0929,0.1826,-0.0232,
0.297840,-0.5182,0.8404,-0.1051,-0.0635,0.2217,-0.0446,
0.398100,-0.5277,0.8421,-0.1148,-0.0849,0.1350,-0.0476,
0.498954,-0.5380,0.8465,-0.0992,-0.0568,0.0794,-0.0226,
0.598792,-0.5321,0.8394,-0.1131,-0.0666,0.0452,-0.0140,
0.699215,-0.5372,0.8404,-0.0901,-0.0012,0.0336,-0.0067,
0.801341,-0.5235,0.8431,-0.1092,0.0483,-0.0177,0.0238,
0.901686,-0.5199,0.8355,-0.1151,-0.0147,0.0031,0.0024,
1.002052,-0.5323,0.8397,-0.1024,-0.0330,0.0153,-0.0067,
1.102143,-0.5406,0.8473,-0.0779,0.0037,0.0092,0.0031,
1.202340,-0.5497,0.8521,-0.0818,0.0476,-0.2034,0.0513,
1.303013,-0.5248,0.8433,-0.1187,0.1607,-0.2364,0.0654,
1.402547,-0.5104,0.8421,-0.1217,0.0195,-0.1362,0.0226,
1.503484,-0.5218,0.8443,-0.0914,-0.0452,0.0574,-0.0226,
1.604312,-0.5250,0.8475,-0.0826,0.0263,-0.0128,-0.0538,
1.704818,-0.5257,0.8426,-0.0909,0.1411,-0.0183,-0.0202,
1.805213,-0.5358,0.8463,-0.1212,0.0177,0.1338,-0.0263,
1.904202,-0.5328,0.8421,-0.1029,-0.0782,-0.0183,-0.0373,
2.004341,-0.5350,0.8433,-0.1248,-0.0134,0.0660,-0.0214,
