
time,gFx,gFy,gFz,wx,wy,wz,
0.098067,-0.1344,0.7952,-0.5758,0.0843,0.1436,0.1283,
0.198157,-0.1244,0.7798,-0.5902,0.1191,0.2346,0.1790,
0.298171,-0.1063,0.7903,-0.6083,0.0257,0.1442,0.1472,
0.398700,-0.0906,0.7920,-0.6161,0.0507,0.0226,0.0421,
0.498935,-0.0980,0.7908,-0.6100,-0.0641,-0.0281,-0.0770,
0.599807,-0.0909,0.7869,-0.6113,0.0250,-0.0018,0.0177,
0.700107,-0.0867,0.7808,-0.6034,-0.0281,-0.0171,-0.0079,
0.804307,-0.0875,0.7881,-0.6108,-0.0391,0.0189,-0.0269,
0.905635,-0.0904,0.7957,-0.5890,-0.0385,-0.0275,-0.0562,
1.005905,-0.0965,0.7938,-0.5949,-0.0098,-0.0116,-0.0458,
1.105687,-0.0950,0.7962,-0.6020,-0.0147,-0.0275,-0.0342,
1.206722,-0.1109,0.7925,-0.5915,-0.0208,-0.1301,-0.0770,
1.308183,-0.1652,0.8094,-0.5866,-0.1979,-0.4300,-0.2981,
1.408452,-0.2072,0.8096,-0.5690,-0.2761,-0.4618,-0.4160,
1.510682,-0.2103,0.7964,-0.5160,-0.0525,0.0134,-0.0006,
1.610153,-0.2118,0.8126,-0.5394,-0.0024,0.0104,0.0385,
