
time,gFx,gFy,gFz,wx,wy,wz,
0.098460,-0.5810,0.8038,0.1129,-0.0165,0.1026,0.0208,
0.198134,-0.5856,0.8094,0.1036,-0.2443,0.1784,0.0586,
0.298265,-0.5763,0.8082,0.1136,-0.0629,0.0880,0.0134,
0.398403,-0.5949,0.8177,0.1168,0.0281,0.0342,0.0165,
0.498842,-0.5910,0.8179,0.1055,0.0513,-0.0782,0.0421,
0.599691,-0.5617,0.8155,0.0716,-0.0226,-0.0104,0.0128,
0.699929,-0.5822,0.8184,0.0970,-0.0318,0.0067,0.0269,
0.800034,-0.5717,0.8199,0.1104,-0.0312,-0.0929,0.0513,
0.900479,-0.5629,0.8226,0.0982,-0.0263,-0.0244,0.0360,
1.000116,-0.5648,0.8236,0.1026,-0.0336,-0.0666,0.0024,
1.100942,-0.5734,0.8250,0.1214,-0.0238,-0.1472,0.0049,
1.200797,-0.5600,0.8297,0.1500,-0.0073,-0.3567,0.0214,
1.302446,-0.5402,0.8299,0.1202,0.1161,-0.2572,0.0550,
1.402581,-0.5414,0.8223,0.1239,-0.0397,0.0098,-0.0086,
1.503409,-0.5595,0.8289,0.1700,-0.0397,-0.0489,-0.0159,
1.604448,-0.5433,0.8316,0.1749,0.1491,-0.1613,0.0037,
1.704443,-0.5499,0.8182,0.1515,0.2468,-0.0965,0.0666,
1.805016,-0.5265,0.8612,0.1019,0.1759,-0.1051,0.0690,
1.905924,-0.5265,0.8394,0.0887,-0.0312,0.1246,-0.0336,
2.004902,-0.5431,0.8499,0.1463,-0.0831,0.0715,-0.0232,
