
time,gFx,gFy,gFz,wx,wy,wz,
0.098703,-0.0437,0.6252,0.7999,0.0293,-0.0049,0.0709,
0.198528,-0.0354,0.6095,0.7879,0.1142,0.1081,0.0098,
0.298755,-0.0366,0.6179,0.7940,0.0385,0.0562,-0.0067,
0.399072,-0.0227,0.6181,0.7991,-0.0214,-0.0299,-0.0134,
0.499201,-0.0296,0.6161,0.8216,-0.0330,-0.0434,0.0012,
0.599885,-0.0354,0.6176,0.8008,0.0006,0.0067,-0.0049,
0.700223,-0.0420,0.6161,0.7981,0.0098,0.0385,-0.0116,
0.801360,-0.0418,0.6200,0.7923,-0.0049,0.0073,-0.0006,
0.901395,-0.0393,0.6169,0.7969,-0.0397,-0.0678,-0.0024,
1.001916,-0.0371,0.6122,0.7989,-0.0874,-0.0757,-0.0171,
1.102910,-0.0349,0.6086,0.8079,-0.0305,-0.0263,0.0000,
1.203729,-0.0305,0.6051,0.8116,0.0159,0.0208,0.0061,
1.304084,-0.0371,0.6086,0.8045,-0.0031,0.0049,0.0055,
1.404066,-0.0435,0.6122,0.8065,-0.0409,-0.0495,0.0183,
1.505586,-0.0171,0.5898,0.8172,0.0049,-0.0519,0.0116,
1.605846,-0.0217,0.6032,0.8077,0.0140,-0.0067,0.0086,
1.705170,-0.0259,0.6044,0.8062,-0.0452,-0.0153,0.0043,
