
time,gFx,gFy,gFz,wx,wy,wz,
0.097248,0.0305,0.4385,0.9110,0.0000,0.0012,0.0312,
0.197328,-0.0017,0.4429,0.9098,0.0018,0.0049,0.0788,
0.297482,0.1046,0.4073,0.9474,0.0226,-0.0556,0.1344,
0.397463,0.0320,0.4407,0.9125,0.0098,0.0061,0.0086,
0.498416,0.0445,0.4373,0.9071,-0.0183,-0.0055,0.0214,
0.598321,0.0447,0.4361,0.9115,-0.0055,0.0006,0.0153,
0.698537,0.0437,0.4361,0.9132,0.0073,0.0079,-0.0104,
0.798950,0.0425,0.4385,0.9139,0.0012,0.0049,-0.0147,
0.904803,0.0420,0.4358,0.9103,-0.0031,-0.0067,-0.0037,
1.002963,0.0254,0.4217,0.9118,-0.0049,-0.0189,0.0324,
1.103358,0.0875,0.4478,0.9010,-0.0244,0.0428,0.0214,
1.203497,0.0484,0.4390,0.9147,0.0098,0.0269,-0.0055,
1.304390,0.0496,0.4356,0.9149,-0.0061,-0.0257,-0.0165,
1.405772,0.0599,0.4261,0.9010,0.0122,-0.0470,0.0061,
1.505472,0.0474,0.4446,0.9438,0.0605,-0.0079,-0.0195,
1.606313,0.0633,0.4378,0.8993,-0.0079,0.0660,0.0031,
