
time,gFx,gFy,gFz,wx,wy,wz,
0.098228,-0.0596,0.8407,0.5262,-0.0434,-0.0018,-0.0134,
0.198023,-0.0420,0.8243,0.5924,-0.0599,0.0055,-0.0140,
0.298150,-0.0679,0.8397,0.5824,0.0293,-0.0189,0.0153,
0.398535,-0.0098,0.8030,0.5546,-0.0684,-0.0153,-0.0018,
0.498939,-0.0525,0.8348,0.5746,-0.0263,-0.0049,-0.0122,
0.600241,-0.0418,0.8177,0.5793,-0.0800,0.0189,-0.0751,
0.699717,-0.0540,0.8201,0.5959,0.0195,-0.0299,-0.0067,
0.801360,-0.0696,0.8314,0.5817,0.0104,0.0055,0.0012,
0.901380,-0.0291,0.8079,0.5663,-0.0153,-0.0244,0.0312,
1.003614,-0.0506,0.8262,0.5939,0.0147,0.0171,-0.0336,
1.105326,-0.0337,0.8155,0.5553,-0.0244,-0.0055,0.0061,
1.203845,-0.0498,0.8223,0.6005,0.0012,-0.0073,-0.0104,
1.304011,-0.0452,0.8216,0.5665,0.0006,-0.0006,-0.0024,
1.406577,-0.0408,0.8162,0.5766,-0.0293,0.0024,-0.0018,
1.506525,-0.0435,0.8182,0.5846,0.0006,-0.0061,0.0043,
1.607221,-0.0450,0.8162,0.5788,-0.0061,0.0043,-0.0140,
1.707309,-0.0537,0.8280,0.5868,0.0067,0.0134,-0.0067,
1.808038,-0.0430,0.8138,0.5827,-0.0177,0.0006,0.0061,
1.907638,-0.0420,0.8155,0.5846,0.0116,-0.0165,0.0104,
2.007896,-0.0643,0.8331,0.5819,0.0147,0.0110,0.0305,
2.108170,-0.0313,0.8111,0.5836,-0.0128,0.0092,0.0269,
2.208308,-0.0396,0.8172,0.5861,0.0269,-0.0067,0.0287,
2.310430,-0.0418,0.8209,0.5778,0.0153,0.0006,0.0202,
2.410866,-0.0362,0.8243,0.5727,0.0122,0.0055,0.0208,
2.511044,-0.0310,0.8172,0.5785,-0.0128,0.0189,-0.0055,
2.611345,-0.0296,0.8218,0.5653,0.0116,-0.0037,-0.0134,
2.712225,-0.0274,0.8201,0.5807,-0.0202,0.0110,-0.0122,
2.811817,-0.0362,0.8221,0.5749,-0.0018,0.0067,-0.0147,
2.912258,-0.0401,0.8209,0.5819,-0.0067,-0.0110,-0.0086,
3.012353,-0.0374,0.8172,0.5834,-0.0195,0.0049,-0.0318,
3.112717,-0.0503,0.8255,0.5766,0.0110,-0.0128,-0.0226,
3.212960,-0.0413,0.8204,0.5783,-0.0324,0.0110,-0.0171,
3.313243,-0.0432,0.8189,0.5873,-0.0024,-0.0006,-0.0171,
3.413617,-0.0491,0.8218,0.5807,0.0116,-0.0037,0.0067,
3.514536,-0.0420,0.8170,0.5788,-0.0263,-0.0024,-0.0037,
3.614103,-0.0542,0.8250,0.5893,0.0061,0.0037,0.0086,
3.714547,-0.0281,0.8123,0.5753,-0.0208,-0.0177,-0.0012,
3.815313,-0.0533,0.8226,0.5832,0.0122,0.0006,-0.0073,
3.914855,-0.0425,0.8179,0.5519,-0.1264,-0.0183,-0.0208,
