
time,gFx,gFy,gFz,wx,wy,wz,
0.099421,-0.4363,0.8534,0.0112,0.0929,0.1026,-0.0483,
0.199423,-0.4820,0.8834,-0.0112,-0.0104,0.0116,-0.1350,
0.299653,-0.5157,0.8793,-0.0171,0.0568,0.0318,-0.0721,
0.408877,-0.4925,0.8619,-0.0408,-0.0880,0.0892,-0.1032,
0.509168,-0.5152,0.8626,-0.0418,0.0434,0.0709,0.0024,
0.611014,-0.4813,0.8382,-0.0322,0.1246,0.0977,-0.0971,
0.710494,-0.4600,0.8475,0.0061,0.0550,0.0629,-0.0202,
0.811273,-0.5262,0.8834,-0.0762,-0.0354,0.1026,0.0092,
0.911081,-0.5128,0.8482,-0.0283,0.1918,0.3091,0.0751,
1.012870,-0.4874,0.8673,-0.1026,0.0812,0.1258,-0.0666,
1.113141,-0.5128,0.8560,-0.0938,0.0947,0.0757,-0.0562,
1.212573,-0.5319,0.8565,-0.1190,0.0501,0.0128,-0.0593,
1.312945,-0.5228,0.8451,-0.1121,-0.0263,-0.0134,-0.0397,
1.413494,-0.5201,0.8424,-0.0782,-0.0232,0.0037,0.0116,
1.514474,-0.5392,0.8568,-0.0994,0.0159,-0.0195,0.0067,
1.615880,-0.5306,0.8448,-0.1055,0.0373,-0.0098,0.0367,
1.716839,-0.5025,0.8399,-0.1124,-0.0831,-0.0996,-0.0037,
1.817454,-0.5326,0.8551,-0.0420,-0.3574,-0.3567,0.0208,
1.918280,-0.5331,0.8651,-0.0322,-0.1179,-0.1802,0.0629,
2.019204,-0.5206,0.8573,-0.0220,-0.1106,-0.1075,0.0959,
2.119685,-0.4852,0.8590,-0.0188,-0.1900,-0.1399,0.0892,
2.221435,-0.5111,0.8707,0.0349,-0.1985,-0.0623,0.0855,
2.321788,-0.4950,0.8636,0.0528,-0.0519,-0.0275,0.0953,
2.422445,-0.4862,0.8668,0.0464,0.0086,-0.0018,0.0525,
2.523188,-0.4849,0.8739,0.0437,0.0470,0.0012,0.0263,
2.623609,-0.4830,0.8768,0.0300,0.0281,-0.0043,0.0232,
2.723953,-0.4708,0.8793,0.0247,-0.0018,-0.0092,0.0244,
2.823994,-0.4759,0.8749,0.0476,0.0006,-0.0031,0.0165,
2.924083,-0.4649,0.8734,0.0435,-0.0024,0.0153,-0.0024,
3.025870,-0.4617,0.8837,0.0386,0.0214,0.0293,0.0012,
3.124595,-0.4752,0.8788,0.0430,0.0128,0.0244,-0.0092,
3.225162,-0.4781,0.8819,0.0266,0.0611,0.0525,0.0232,
3.326211,-0.4781,0.8756,0.0254,-0.0165,0.0061,-0.0061,
3.426518,-0.4678,0.8856,0.0269,-0.0263,0.0128,-0.0147,
3.527416,-0.4771,0.8859,0.0271,-0.0238,0.0293,-0.0012,
3.628065,-0.4869,0.8822,0.0528,-0.0086,-0.0238,0.0177,
3.728903,-0.4688,0.8800,0.0200,0.0110,-0.0476,0.0287,
3.829839,-0.4681,0.8807,0.0364,0.0574,-0.0421,0.0324,
3.930964,-0.4693,0.8807,0.0120,0.0556,-0.0140,0.0086,
4.031098,-0.4630,0.8861,0.0007,-0.0257,0.0092,-0.0183,
4.129967,-0.4708,0.8810,0.0086,-0.0635,0.0403,-0.0379,
4.230121,-0.4803,0.8903,0.0191,0.0305,0.0153,-0.0098,
