
time,gFx,gFy,gFz,wx,wy,wz,
0.097405,-0.0010,0.3596,0.9540,-0.0006,-0.0006,0.0006,
0.197693,0.0015,0.3591,0.9472,-0.0012,0.0043,0.0018,
0.297793,-0.0010,0.3596,0.9552,0.0049,-0.0067,0.0024,
0.398066,0.0015,0.3586,0.9579,0.0055,-0.0073,0.0012,
0.498445,0.0027,0.3604,0.9469,0.0073,-0.0073,-0.0024,
0.599265,0.0022,0.3606,0.9450,0.0012,-0.0006,-0.0012,
0.699762,-0.0029,0.3618,0.9462,0.0012,0.0031,-0.0024,
0.800483,-0.0017,0.3608,0.9447,-0.0006,0.0000,0.0031,
0.900567,-0.0027,0.3594,0.9464,-0.0012,0.0031,0.0006,
1.000862,-0.0010,0.3589,0.9464,0.0012,-0.0018,0.0018,
1.100520,-0.0032,0.3608,0.9477,0.0018,-0.0006,0.0018,
1.201168,-0.0024,0.3599,0.9508,0.0018,-0.0012,0.0024,
1.301366,0.0017,0.3599,0.9472,0.0049,-0.0012,-0.0018,
1.402226,-0.0039,0.3599,0.9496,0.0037,0.0000,0.0018,
1.504559,-0.0017,0.3601,0.9557,-0.0049,-0.0018,0.0000,
1.604667,0.0024,0.3594,0.9508,-0.0012,0.0000,-0.0006,
1.706681,-0.0002,0.3599,0.9457,0.0049,-0.0043,0.0012,
1.807671,0.0010,0.3596,0.9450,0.0024,-0.0012,0.0018,
1.907940,0.0010,0.3604,0.9455,0.0012,0.0024,-0.0012,
2.008985,-0.0015,0.3591,0.9469,0.0037,-0.0043,-0.0037,
2.109302,0.0020,0.3596,0.9472,0.0012,0.0018,-0.0031,
2.210157,-0.0002,0.3584,0.9491,0.0000,-0.0031,0.0012,
2.310993,0.0020,0.3608,0.9457,-0.0012,-0.0037,-0.0018,
2.411903,0.0012,0.3608,0.9472,-0.0006,0.0000,0.0000,
2.512105,0.0000,0.3599,0.9477,0.0049,-0.0043,0.0000,
2.613164,0.0000,0.3596,0.9472,0.0024,-0.0043,0.0031,
2.713891,-0.0010,0.3601,0.9460,0.0000,0.0049,0.0012,
2.814388,-0.0034,0.3608,0.9464,0.0018,-0.0024,0.0000,
2.914942,-0.0022,0.3594,0.9482,0.0024,-0.0012,0.0012,
3.016155,-0.0005,0.3599,0.9477,-0.0018,-0.0018,0.0006,
3.116413,0.0007,0.3606,0.9469,0.0018,-0.0006,0.0006,
3.217285,-0.0020,0.3606,0.9477,-0.0031,0.0006,-0.0024,
3.317815,0.0000,0.3589,0.9462,0.0000,-0.0024,0.0024,
3.418540,0.0012,0.3572,0.9499,-0.0012,0.0000,0.0006,
3.519000,-0.0010,0.3584,0.9489,0.0031,-0.0012,0.0031,
3.619925,-0.0010,0.3601,0.9472,-0.0031,0.0012,0.0024,
3.721210,-0.0017,0.3596,0.9474,-0.0024,-0.0006,0.0000,
3.821701,0.0039,0.3608,0.9504,-0.0031,-0.0012,0.0024,
3.922528,0.0000,0.3596,0.9491,0.0000,-0.0024,0.0031,
4.023682,0.0022,0.3589,0.9501,0.0006,0.0006,-0.0006,
4.124048,0.0012,0.3596,0.9521,0.0012,0.0006,-0.0012,
4.224491,-0.0005,0.3601,0.9494,0.0031,-0.0031,-0.0031,
4.325507,0.0002,0.3599,0.9467,0.0000,0.0031,0.0018,
4.426143,-0.0012,0.3599,0.9533,0.0061,-0.0055,-0.0006,
4.526841,-0.0015,0.3589,0.9516,0.0024,-0.0024,0.0006,
4.627178,0.0007,0.3599,0.9538,0.0031,-0.0043,0.0031,
4.727601,-0.0010,0.3604,0.9491,0.0037,-0.0006,0.0000,
4.828553,0.0012,0.3591,0.9501,-0.0031,0.0012,0.0000,
4.927643,-0.0007,0.3596,0.9452,0.0092,-0.0104,-0.0006,
