
time,gFx,gFy,gFz,wx,wy,wz,
0.097107,-0.3520,0.5035,0.8084,0.0629,-0.0696,0.0281,
0.197077,-0.3513,0.5060,0.8172,0.0067,0.0666,-0.0079,
0.297549,-0.3562,0.5160,0.7925,-0.0745,-0.0202,-0.0122,
0.397581,-0.3535,0.5040,0.7938,0.0367,0.0391,0.0208,
0.498240,-0.3552,0.5089,0.8057,-0.0299,-0.0354,0.0000,
0.598217,-0.3562,0.5113,0.8016,-0.0067,0.0244,0.0122,
0.699246,-0.3535,0.5067,0.7962,-0.0281,-0.0202,0.0055,
0.799774,-0.3506,0.5108,0.7981,-0.0012,0.0079,0.0098,
0.900116,-0.3520,0.5099,0.8028,-0.0232,-0.0086,0.0067,
1.000812,-0.3518,0.5094,0.8011,-0.0238,-0.0049,0.0067,
1.100937,-0.3501,0.5062,0.8038,-0.0342,-0.0177,0.0110,
1.200885,-0.3457,0.5016,0.8079,-0.0202,0.0177,0.0104,
1.302433,-0.3506,0.5020,0.8067,-0.0104,0.0067,-0.0122,
1.404634,-0.3550,0.5091,0.8033,0.0000,0.0067,0.0134,
1.505386,-0.3516,0.5023,0.8028,0.0018,0.0147,0.0031,
1.605897,-0.3577,0.5050,0.8038,0.0202,-0.0073,-0.0110,
1.706677,-0.3545,0.5104,0.8003,0.0122,-0.0073,-0.0073,
1.806969,-0.3538,0.5094,0.8021,0.0269,0.0055,0.0012,
1.907578,-0.3582,0.5094,0.7979,0.0128,-0.0006,-0.0049,
2.008751,-0.3560,0.5152,0.7977,0.0031,0.0037,-0.0031,
2.109336,-0.3577,0.5140,0.7945,-0.0006,-0.0024,0.0073,
2.210260,-0.3591,0.5140,0.7989,-0.0128,-0.0079,-0.0012,
2.310951,-0.3604,0.5172,0.7950,-0.0165,-0.0128,0.0067,
2.413250,-0.3572,0.5135,0.8008,-0.0134,-0.0006,0.0104,
2.511437,-0.3506,0.5064,0.7933,-0.0159,0.0067,0.0055,
2.612601,-0.3569,0.5160,0.7969,0.0134,-0.0043,-0.0024,
2.713229,-0.3601,0.5148,0.7950,0.0244,0.0147,0.0110,
2.814669,-0.3594,0.5157,0.8109,-0.0159,0.0525,0.0421,
2.913138,-0.3503,0.5172,0.7647,-0.1057,0.0061,-0.0043,
