
time,gFx,gFy,gFz,wx,wy,wz,
0.098288,-0.2394,0.7380,0.6872,-0.1710,-0.0617,-0.0153,
0.198294,-0.2226,0.7322,0.6144,-0.0086,-0.0318,0.0092,
0.298438,-0.2348,0.7420,0.6533,0.0721,0.0452,-0.0110,
0.398554,-0.2284,0.7322,0.6484,0.0000,-0.0092,0.0140,
0.498686,-0.2265,0.7305,0.6579,-0.0214,-0.0110,0.0018,
0.599185,-0.2279,0.7366,0.6350,0.0153,-0.0067,-0.0159,
0.699574,-0.2340,0.7400,0.6491,0.0098,-0.0043,0.0024,
0.799794,-0.2282,0.7356,0.6406,-0.0037,-0.0055,0.0055,
0.900429,-0.2296,0.7366,0.6479,0.0037,0.0079,0.0086,
1.000547,-0.2245,0.7337,0.6430,-0.0104,-0.0006,0.0061,
1.100700,-0.2270,0.7395,0.6523,-0.0293,0.0043,0.0067,
1.202137,-0.2228,0.7332,0.6428,-0.0140,0.0024,0.0110,
1.301912,-0.2213,0.7324,0.6499,-0.0238,0.0006,0.0067,
1.402132,-0.2279,0.7302,0.6572,-0.0086,0.0086,-0.0024,
1.503245,-0.2211,0.7266,0.6513,-0.0134,0.0018,0.0043,
1.604128,-0.2270,0.7305,0.6565,0.0006,0.0024,-0.0043,
1.703664,-0.2235,0.7285,0.6506,0.0214,0.0110,-0.0055,
1.804654,-0.2257,0.7268,0.6513,0.0171,0.0110,-0.0116,
1.905460,-0.2314,0.7354,0.6445,0.0373,0.0153,-0.0171,
2.005679,-0.2331,0.7380,0.6408,0.0257,0.0147,-0.0128,
2.105988,-0.2348,0.7393,0.6452,0.0171,-0.0086,-0.0018,
2.208587,-0.2338,0.7371,0.6462,-0.0134,-0.0134,-0.0043,
2.308791,-0.2358,0.7427,0.6301,-0.0238,-0.0153,0.0122,
2.409513,-0.2316,0.7361,0.6518,-0.0434,-0.0031,0.0220,
2.510483,-0.2218,0.7275,0.6545,-0.0312,-0.0153,0.0073,
2.611601,-0.2255,0.7312,0.6486,-0.0202,0.0061,-0.0067,
2.713125,-0.2262,0.7263,0.6508,-0.0140,0.0079,0.0006,
2.812403,-0.2301,0.7263,0.6655,-0.0171,-0.0147,-0.0177,
2.911942,-0.2472,0.7444,0.6613,-0.1692,-0.0886,-0.0250,
