
time,gFx,gFy,gFz,wx,wy,wz,
0.096867,-0.1698,0.8243,0.5284,0.0244,0.0324,0.0092,
0.196839,-0.1791,0.8311,0.5416,-0.0128,0.0574,-0.0116,
0.296985,-0.1964,0.8289,0.5409,0.0079,0.0861,-0.0171,
0.397529,-0.1845,0.8270,0.5184,-0.0733,0.0874,-0.0073,
0.497418,-0.1805,0.8189,0.5690,-0.0244,0.0171,-0.0073,
0.598927,-0.1884,0.8155,0.5558,0.0073,-0.0171,-0.0171,
0.699768,-0.1957,0.8153,0.5705,0.0250,-0.0379,-0.0055,
0.799533,-0.1969,0.8196,0.5592,0.0250,-0.0525,0.0092,
0.900096,-0.1881,0.8240,0.5573,0.0501,-0.0110,0.0061,
1.000611,-0.1891,0.8243,0.5433,0.0421,-0.0049,0.0159,
1.100759,-0.1876,0.8282,0.5392,0.0232,-0.0024,0.0159,
1.201736,-0.1886,0.8238,0.5375,-0.0061,-0.0049,0.0134,
1.304599,-0.1867,0.8282,0.5306,-0.0593,0.0250,0.0098,
1.403403,-0.1710,0.8226,0.5404,-0.0312,-0.0018,-0.0092,
1.504843,-0.1805,0.8228,0.5321,-0.0354,-0.0214,-0.0360,
1.605348,-0.2099,0.8209,0.5399,-0.0880,0.0049,-0.0238,
1.705795,-0.1915,0.8087,0.5543,-0.1228,0.0177,-0.0287,
1.808297,-0.1952,0.8052,0.6122,-0.1136,-0.0611,-0.0531,
1.908393,-0.2189,0.7938,0.6161,-0.0519,-0.0544,-0.0483,
2.009596,-0.2243,0.7874,0.6137,-0.0171,-0.0122,0.0067,
2.109861,-0.2055,0.7945,0.6098,0.0006,-0.0348,0.0275,
2.211264,-0.1918,0.8025,0.6125,0.0953,-0.0116,0.0312,
2.312079,-0.1742,0.8016,0.5548,0.1252,0.0049,0.0367,
2.410770,-0.1950,0.8170,0.5885,0.0800,-0.0519,0.0312,
