
time,gFx,gFy,gFz,wx,wy,wz,
0.098551,-0.2739,0.8749,-0.3296,0.2608,0.4038,0.2975,
0.198633,-0.2494,0.8917,-0.4065,0.3366,0.4533,0.1826,
0.298646,-0.2428,0.8898,-0.4073,0.0287,0.0806,0.0525,
0.399253,-0.2492,0.8976,-0.3904,-0.0134,-0.1142,-0.0629,
0.499178,-0.2446,0.8873,-0.3753,-0.0611,-0.0825,-0.0586,
0.600602,-0.2509,0.8815,-0.4043,-0.0269,0.0116,-0.0171,
0.701927,-0.2402,0.8878,-0.3953,-0.0507,-0.1228,-0.0562,
0.801026,-0.2453,0.8863,-0.3909,-0.0299,-0.0318,-0.0177,
0.900774,-0.2507,0.8802,-0.3877,0.0244,0.0770,-0.0012,
1.001666,-0.2551,0.8929,-0.3862,-0.0147,0.0000,0.0257,
1.102113,-0.2450,0.8917,-0.3735,-0.0281,-0.0189,0.0049,
1.206384,-0.2587,0.8961,-0.3638,-0.0434,-0.1081,-0.0415,
1.306986,-0.2675,0.8988,-0.3767,-0.1246,-0.2627,-0.1857,
1.404174,-0.3061,0.8841,-0.3332,-0.1888,-0.4233,-0.2560,
1.504578,-0.3281,0.8788,-0.3215,-0.0990,-0.1148,-0.1271,
1.605912,-0.3225,0.8881,-0.3147,0.0397,0.0586,0.0037,
1.706486,-0.3103,0.8983,-0.3003,-0.0195,-0.0061,0.0238,
