
time,gFx,gFy,gFz,wx,wy,wz,
0.098326,-0.3447,0.8719,-0.3547,0.0299,0.1668,0.0623,
0.198222,-0.3213,0.8717,-0.3398,-0.1662,0.3757,-0.0098,
0.298370,-0.3169,0.8622,-0.3740,-0.2138,0.5150,-0.0831,
0.398494,-0.3428,0.8976,-0.3071,-0.1497,0.2266,-0.0788,
0.498631,-0.3176,0.8832,-0.3108,0.0403,0.1148,-0.0043,
0.599153,-0.3227,0.8873,-0.3166,0.1417,-0.1894,0.0727,
0.699577,-0.3274,0.8849,-0.3731,0.0483,-0.0965,0.0501,
0.800419,-0.3271,0.8756,-0.3418,0.0415,-0.0367,0.0165,
0.900877,-0.3323,0.8866,-0.3318,0.0098,-0.1387,0.0281,
1.001466,-0.3286,0.8812,-0.3445,0.0024,-0.0971,0.0269,
1.101790,-0.3164,0.8802,-0.3538,-0.0330,0.0812,-0.0006,
1.202197,-0.3281,0.8795,-0.3459,-0.0977,0.1081,-0.0122,
1.302974,-0.3247,0.8856,-0.3352,-0.0812,0.0941,-0.0153,
1.405048,-0.3325,0.8956,-0.3139,-0.0519,0.0153,-0.0006,
1.505496,-0.3279,0.8878,-0.3068,0.0171,-0.0715,0.0214,
1.605499,-0.3315,0.8878,-0.3032,0.1289,-0.2162,0.0446,
1.704597,-0.3320,0.8768,-0.3232,0.2291,-0.3635,0.0159,
1.804678,-0.3264,0.8604,-0.3533,0.2083,-0.3763,-0.0458,
1.905250,-0.3848,0.8866,-0.3391,0.0831,-0.2236,0.0024,
2.005481,-0.3594,0.8521,-0.3735,0.0165,0.2010,-0.0483,
2.105237,-0.3601,0.8761,-0.2819,0.0867,0.0751,-0.0293,
