
time,gFx,gFy,gFz,wx,wy,wz,
0.097277,-0.3953,0.4659,0.8221,0.1326,0.0947,0.0696,
0.197110,-0.4134,0.4735,0.7764,0.0855,0.2523,0.0489,
0.297452,-0.4412,0.4832,0.7578,-0.0067,0.0916,0.0116,
0.397522,-0.4385,0.4884,0.7857,0.0104,0.0031,0.0061,
0.497559,-0.4239,0.4732,0.7745,-0.0024,-0.0935,-0.0104,
0.598251,-0.4219,0.4788,0.7869,0.0373,-0.0495,0.0208,
0.698841,-0.4190,0.4708,0.7771,-0.0031,0.0147,0.0086,
0.799179,-0.4322,0.4818,0.7788,0.0110,0.0470,-0.0550,
0.899588,-0.4253,0.4779,0.7908,-0.0134,-0.0641,0.0049,
0.999861,-0.4290,0.4639,0.7801,-0.0079,-0.0336,-0.0031,
1.100226,-0.4197,0.4632,0.8087,-0.0574,-0.0086,-0.0189,
1.200479,-0.4283,0.4727,0.7894,0.0055,0.0165,0.0208,
1.300578,-0.4158,0.4588,0.7810,0.0018,0.0428,0.0379,
1.400538,-0.4378,0.4788,0.7994,0.0293,0.0715,0.0281,
1.501789,-0.4253,0.4722,0.7908,-0.0165,-0.0031,-0.0049,
1.602229,-0.4305,0.4727,0.7898,-0.0128,0.0110,0.0031,
1.703133,-0.4339,0.4669,0.7681,-0.0550,-0.1069,0.0031,
1.804821,-0.4192,0.4639,0.8028,-0.1240,-0.1478,-0.0153,
1.903805,-0.4124,0.4512,0.8153,-0.1429,-0.0745,-0.0140,
2.004781,-0.4068,0.4432,0.8153,-0.1399,-0.0922,-0.0715,
2.104363,-0.3711,0.4173,0.8272,-0.1600,0.0031,-0.0837,
2.205036,-0.4043,0.4165,0.8324,-0.0244,0.0434,-0.0147,
2.304094,-0.3772,0.4319,0.8238,-0.1155,-0.0226,0.0116,
