
time,gFx,gFy,gFz,wx,wy,wz,
0.098393,-0.1063,0.7649,0.6247,0.1405,0.1607,-0.0586,
0.198419,-0.1266,0.7747,0.5964,0.1161,0.2950,-0.0977,
0.298742,-0.1495,0.7798,0.6130,-0.0360,0.0312,-0.0415,
0.399305,-0.1608,0.7864,0.6071,0.0318,0.0806,-0.0049,
0.499288,-0.1735,0.7928,0.5917,0.0147,0.1943,-0.0159,
0.600293,-0.1686,0.7725,0.6122,-0.0049,0.0177,0.0128,
0.700966,-0.1590,0.7825,0.6117,-0.0379,-0.0079,0.0067,
0.801405,-0.1590,0.7752,0.6208,-0.0128,-0.0244,0.0061,
0.901566,-0.1307,0.7605,0.6323,0.0214,-0.0892,0.0250,
1.001905,-0.1610,0.7813,0.6088,-0.0153,-0.0134,-0.0208,
1.102637,-0.1590,0.7752,0.6130,-0.0098,0.0073,-0.0037,
1.202601,-0.1634,0.7793,0.6279,-0.0495,-0.0367,-0.0098,
1.303856,-0.1598,0.7791,0.6235,0.0250,-0.0360,0.0037,
1.404206,-0.1590,0.7771,0.6203,-0.0232,-0.0220,0.0012,
1.504675,-0.1600,0.7735,0.6247,-0.0018,-0.0159,0.0348,
1.605579,-0.1209,0.7573,0.6213,-0.0232,-0.0024,0.0134,
1.706135,-0.1546,0.7730,0.6320,-0.0140,0.0202,-0.0031,
1.806814,-0.1500,0.7659,0.6318,-0.0006,0.0134,0.0037,
1.907498,-0.1522,0.7647,0.6523,-0.0599,-0.0049,-0.0012,
2.008311,-0.1551,0.7671,0.6284,-0.0134,0.0183,0.0147,
2.108861,-0.1544,0.7664,0.6437,-0.0586,-0.0092,0.0195,
2.209629,-0.1388,0.7569,0.6430,-0.0318,0.0666,-0.0037,
2.308466,-0.1544,0.7561,0.6472,-0.0794,-0.0831,0.0012,
