
time,gFx,gFy,gFz,wx,wy,wz,
0.098689,-0.1051,0.8128,0.5822,0.1008,0.0544,-0.0874,
0.198605,-0.0953,0.8243,0.5133,0.1356,0.1741,0.0171,
0.298743,-0.1124,0.8231,0.5497,-0.0935,0.1344,0.0825,
0.399195,-0.1292,0.8277,0.6005,-0.0617,0.0446,-0.0055,
0.499509,-0.1077,0.8258,0.5636,0.0733,-0.0507,0.0269,
0.600192,-0.1016,0.8177,0.5543,-0.0312,-0.0568,-0.0116,
0.700024,-0.1182,0.8292,0.5758,0.0733,-0.0318,-0.0183,
0.801566,-0.1200,0.8360,0.5600,0.0312,0.0055,-0.0299,
0.902269,-0.1121,0.8204,0.5448,0.0702,0.0098,0.0043,
1.003045,-0.1104,0.8270,0.5436,-0.0464,-0.0489,-0.0550,
1.103508,-0.1224,0.8270,0.5600,-0.0330,0.0122,-0.0568,
1.203394,-0.1219,0.8272,0.5507,-0.0531,0.0153,0.0208,
1.303774,-0.0816,0.8153,0.5753,-0.0819,-0.0721,-0.0043,
1.407079,-0.1180,0.8140,0.5888,-0.0275,-0.0397,-0.0086,
1.508634,-0.1129,0.8126,0.5690,-0.0055,-0.0531,-0.0312,
1.609522,-0.0772,0.7955,0.5998,-0.0434,-0.1045,-0.0153,
1.710102,-0.1314,0.8231,0.5761,0.0226,-0.0324,0.0024,
1.809296,-0.1248,0.8194,0.5692,-0.0519,-0.0214,0.0055,
