
time,gFx,gFy,gFz,wx,wy,wz,
0.097169,-0.1791,0.8223,0.5751,0.0892,-0.0672,-0.0128,
0.197215,-0.1688,0.8128,0.5162,0.1845,0.1264,-0.0757,
0.297285,-0.2111,0.8507,0.5145,0.0623,0.1533,-0.0782,
0.397359,-0.2055,0.8436,0.5409,0.1747,0.0336,0.0519,
0.497613,-0.2001,0.8570,0.4688,0.1588,0.0330,0.0495,
0.598963,-0.1915,0.8531,0.4625,0.0232,0.0434,-0.0073,
0.699449,-0.1915,0.8602,0.4913,-0.0440,-0.0006,-0.0159,
0.799648,-0.1888,0.8509,0.4891,-0.0324,-0.0336,0.0092,
0.899621,-0.1835,0.8512,0.4999,-0.0446,0.0116,0.0116,
1.000030,-0.1908,0.8497,0.5001,0.0055,-0.0208,0.0006,
1.100457,-0.1959,0.8521,0.4889,-0.0409,-0.0244,-0.0159,
1.200934,-0.2045,0.8514,0.4981,-0.1240,-0.0702,-0.0128,
1.301686,-0.1915,0.8394,0.5260,-0.1888,-0.1509,0.0006,
1.402210,-0.1945,0.8353,0.5551,-0.1093,-0.0855,0.0043,
1.502360,-0.1845,0.8262,0.5402,-0.0586,0.0354,0.0122,
1.603344,-0.1735,0.8218,0.5470,-0.0275,0.0183,0.0171,
1.704704,-0.1823,0.8231,0.5475,-0.0330,0.0269,0.0055,
1.806040,-0.1891,0.8265,0.5529,-0.0373,-0.0043,-0.0006,
1.905651,-0.1901,0.8233,0.5556,-0.0275,0.0116,0.0195,
2.006393,-0.1835,0.8319,0.5443,-0.0953,0.0580,0.1026,
2.106661,-0.1945,0.8223,0.5675,-0.3024,-0.2431,-0.0702,
2.207622,-0.1754,0.7955,0.6191,0.0403,0.0996,0.0037,
2.307310,-0.1725,0.8018,0.6235,0.0837,-0.0336,0.0147,
