
time,gFx,gFy,gFz,wx,wy,wz,
0.097829,-0.1698,0.8531,0.4671,0.0128,0.0812,-0.0049,
0.197908,-0.1864,0.8365,0.4727,-0.0275,0.1912,-0.1081,
0.298030,-0.2250,0.8653,0.4818,0.0959,0.2456,-0.0702,
0.398182,-0.2318,0.8719,0.4420,0.0922,0.0629,-0.0214,
0.498259,-0.2299,0.8631,0.4581,0.0476,0.0031,0.0147,
0.598768,-0.2213,0.8707,0.4427,0.0544,0.0617,-0.0177,
0.699386,-0.2350,0.8688,0.4446,-0.0367,-0.0092,-0.0195,
0.800963,-0.2314,0.8675,0.4578,-0.0305,-0.0330,-0.0220,
0.901215,-0.2250,0.8675,0.4507,-0.0483,-0.0696,0.0104,
1.001851,-0.2140,0.8587,0.4722,-0.0324,-0.0293,-0.0067,
1.101985,-0.2228,0.8597,0.4547,-0.0373,-0.0153,-0.0287,
1.202179,-0.2262,0.8568,0.4754,-0.1130,-0.0959,-0.0305,
1.302670,-0.2231,0.8504,0.4842,-0.1466,-0.1967,-0.0195,
1.402753,-0.2157,0.8375,0.5045,-0.1625,-0.1759,-0.0263,
1.504200,-0.2216,0.8399,0.5309,-0.1045,-0.0788,-0.0147,
1.605132,-0.2008,0.8236,0.5209,-0.0684,-0.0324,0.0165,
1.705355,-0.2040,0.8253,0.5470,-0.0800,-0.0183,-0.0055,
1.807360,-0.2057,0.8258,0.5448,-0.0385,-0.0250,-0.0043,
1.909064,-0.2155,0.8289,0.5460,-0.0574,-0.1112,0.0073,
2.009234,-0.1976,0.8143,0.5556,-0.1142,-0.1368,0.0134,
2.111719,-0.1832,0.8052,0.5797,-0.0629,-0.0220,-0.0110,
2.210870,-0.2050,0.8148,0.5739,-0.0562,-0.0446,-0.0018,
