
time,gFx,gFy,gFz,wx,wy,wz,
0.097690,-0.3257,0.6191,0.6706,-0.1124,0.0751,-0.0275,
0.197578,-0.3965,0.6225,0.7520,-0.1845,0.0373,-0.0098,
0.297444,-0.3677,0.6240,0.6904,0.0079,0.0550,0.0495,
0.397882,-0.3733,0.6103,0.7029,-0.0244,0.0232,-0.0043,
0.498128,-0.3787,0.6215,0.7144,-0.0153,0.0171,0.0134,
0.598826,-0.3647,0.6083,0.7187,0.0232,0.0079,0.0092,
0.699046,-0.3640,0.6144,0.7063,-0.0342,0.0049,0.0049,
0.801493,-0.3669,0.6100,0.7205,0.0238,-0.0147,-0.0128,
0.901723,-0.3770,0.6166,0.7305,0.1423,-0.0953,0.0238,
1.002684,-0.3425,0.6208,0.6899,0.1655,-0.0977,-0.0696,
1.102761,-0.3728,0.6384,0.6618,0.0263,0.0434,0.0403,
1.202689,-0.3608,0.6281,0.6997,-0.0782,0.0507,0.0208,
1.303167,-0.3621,0.6279,0.7244,-0.0061,0.0098,-0.0208,
1.404003,-0.3628,0.6222,0.6841,0.0360,-0.0318,-0.0165,
1.504834,-0.3757,0.6352,0.6943,0.0067,-0.0293,-0.0086,
1.606315,-0.3437,0.6266,0.6833,0.0446,-0.0250,0.0183,
1.705839,-0.3797,0.6342,0.6963,-0.0195,-0.0385,0.0073,
1.807686,-0.3540,0.6325,0.6882,-0.0360,0.0244,0.0061,
1.907436,-0.3635,0.6281,0.6975,-0.0538,0.0202,-0.0110,
2.008676,-0.3645,0.6269,0.7126,0.0195,-0.0275,0.0049,
2.109905,-0.3633,0.6269,0.6999,-0.0012,-0.0391,0.0086,
2.209778,-0.3489,0.6259,0.7124,-0.0324,-0.0898,0.0244,
2.310333,-0.3545,0.6315,0.6916,-0.0312,0.0562,-0.0049,
2.410225,-0.4019,0.6381,0.7371,-0.0776,-0.0580,-0.0079,
