
time,gFx,gFy,gFz,wx,wy,wz,
0.099635,-0.1109,0.7788,0.6120,-0.0159,0.0446,-0.0446,
0.199716,-0.1664,0.7996,0.6279,0.0929,0.0922,-0.1155,
0.299870,-0.1527,0.7957,0.5790,0.0806,0.0660,-0.0476,
0.400450,-0.1546,0.7962,0.6012,-0.0470,0.0165,-0.0257,
0.500551,-0.1524,0.7928,0.6200,-0.0244,-0.0140,-0.0110,
0.601144,-0.1573,0.7925,0.6059,0.0360,0.0226,0.0018,
0.703711,-0.1498,0.7894,0.5966,0.0092,0.0232,-0.0073,
0.804109,-0.1568,0.7916,0.6059,-0.0098,-0.0330,-0.0037,
0.904209,-0.1673,0.7967,0.6071,0.0452,-0.0079,0.0476,
1.004627,-0.1309,0.7908,0.5966,0.0220,-0.0837,0.0202,
1.104433,-0.1405,0.7906,0.5878,0.0000,-0.0067,-0.0043,
1.205237,-0.1410,0.7874,0.5964,-0.0434,-0.0214,-0.0092,
1.305042,-0.1500,0.7933,0.6115,-0.0299,-0.0079,-0.0073,
1.404993,-0.1459,0.7884,0.6049,-0.0232,-0.0183,0.0018,
1.505907,-0.1590,0.7923,0.6254,0.0086,-0.0012,0.0012,
1.610521,-0.1397,0.7906,0.5902,0.0116,0.0055,0.0122,
1.707518,-0.1429,0.7901,0.6137,-0.0391,-0.0122,0.0140,
1.807404,-0.1393,0.7872,0.5976,-0.0446,0.0189,0.0116,
1.907768,-0.1427,0.7850,0.6159,-0.0428,0.0159,-0.0061,
2.009226,-0.1412,0.7842,0.6083,-0.0421,-0.0293,-0.0043,
2.109975,-0.1578,0.7832,0.5988,-0.1814,-0.1063,0.0128,
2.210507,-0.1087,0.7473,0.6545,-0.3793,-0.2553,0.0006,
2.311779,-0.1217,0.7402,0.7266,-0.0544,0.0287,0.0037,
2.412574,-0.1239,0.7385,0.6696,-0.0250,-0.0214,0.0012,
2.512446,-0.1258,0.7402,0.6660,-0.0556,0.0446,-0.0073,
2.623053,-0.1427,0.7385,0.6904,-0.0483,0.0324,-0.0086,
2.712665,-0.1427,0.7398,0.7214,0.0953,-0.0757,0.0226,
