
time,gFx,gFy,gFz,wx,wy,wz,
0.097351,-0.1287,0.8057,0.5797,-0.0678,0.0153,0.0843,
0.197856,-0.1463,0.7989,0.5898,-0.0153,0.1869,0.0696,
0.297458,-0.1488,0.8018,0.6122,-0.0421,0.1258,0.0006,
0.397853,-0.1644,0.8030,0.6105,-0.0275,0.1588,0.0959,
0.497823,-0.1319,0.7864,0.6247,-0.0739,-0.0183,0.0709,
0.598755,-0.1209,0.7864,0.5944,-0.0055,0.0751,-0.0092,
0.709850,-0.1295,0.7801,0.6078,-0.0177,-0.0299,-0.0415,
0.810426,-0.1378,0.7881,0.6166,0.0342,-0.0629,-0.0977,
0.911458,-0.1373,0.7923,0.6137,0.1063,-0.2193,-0.1014,
1.011681,-0.1529,0.8025,0.5543,-0.0348,0.0092,0.0189,
1.112160,-0.1290,0.7872,0.6113,-0.0904,0.0232,-0.0043,
1.212747,-0.1417,0.7840,0.6279,-0.0086,0.0177,-0.0293,
1.312906,-0.1463,0.7879,0.6005,-0.0513,-0.0354,-0.0092,
1.413884,-0.1488,0.7862,0.6357,-0.1784,-0.1802,-0.0403,
1.514900,-0.1415,0.7666,0.6335,-0.0275,0.0305,0.0580,
1.615737,-0.1566,0.7823,0.6550,-0.0257,0.0104,-0.0073,
1.716409,-0.1239,0.7666,0.6315,0.0122,-0.0464,0.0244,
1.817438,-0.1292,0.7661,0.6418,-0.0281,-0.0177,-0.0012,
1.917451,-0.1544,0.7803,0.6362,-0.0055,0.0104,0.0470,
2.018708,-0.1309,0.7666,0.6753,-0.0391,-0.1313,0.0092,
2.119028,-0.1026,0.7608,0.5893,0.0733,0.0275,0.0580,
2.220157,-0.1112,0.7578,0.6733,-0.0519,-0.0880,0.0079,
2.318757,-0.1217,0.7696,0.6345,-0.0086,-0.0367,-0.0098,
