
time,gFx,gFy,gFz,wx,wy,wz,
0.098959,-0.1014,0.4485,0.8199,0.2120,-0.0678,-0.0837,
0.198910,-0.1410,0.4867,0.8504,-0.0342,0.0690,-0.0128,
0.298903,-0.1510,0.4857,0.8954,-0.0024,0.0806,0.0189,
0.399427,-0.1053,0.4273,0.8732,-0.0715,0.0929,-0.0336,
0.499539,-0.1739,0.4859,0.8920,0.0990,0.0037,-0.1020,
0.600827,-0.1869,0.4874,0.9012,0.0324,-0.0806,-0.0140,
0.701365,-0.1683,0.4857,0.8455,0.0672,0.0104,-0.0055,
0.800876,-0.1502,0.4715,0.8878,-0.0238,0.0195,0.0397,
0.902242,-0.1600,0.4857,0.8661,-0.0171,-0.0367,0.0226,
1.003408,-0.1559,0.4837,0.8531,-0.0470,0.0043,0.0104,
1.103616,-0.1344,0.4615,0.8783,-0.0709,0.0140,0.0476,
1.203921,-0.1652,0.4771,0.8949,0.0263,-0.0128,0.0171,
1.304125,-0.1419,0.4632,0.8800,-0.0147,-0.0012,0.0104,
1.404746,-0.1493,0.4627,0.8922,-0.0379,-0.0055,-0.0403,
1.505399,-0.1510,0.4615,0.8675,0.0140,0.0024,-0.0183,
1.606485,-0.1695,0.4810,0.8883,0.0195,0.0299,-0.0275,
1.706464,-0.1444,0.4500,0.8937,-0.0483,-0.0043,0.0147,
1.808028,-0.1708,0.4757,0.9025,0.0470,-0.0415,0.0116,
1.907369,-0.1341,0.4554,0.8707,0.0226,-0.0287,-0.0061,
2.008240,-0.1566,0.4688,0.8927,0.0116,-0.0171,-0.0690,
2.109031,-0.1356,0.4600,0.8775,-0.0055,-0.0684,-0.0299,
2.209767,-0.1671,0.4784,0.8841,-0.0165,0.0696,-0.0018,
2.308231,-0.1451,0.4559,0.9056,-0.0244,0.0086,0.0214,
