
time,gFx,gFy,gFz,wx,wy,wz,
0.097442,0.7754,0.6257,-0.1932,-0.0825,0.0250,0.0415,
0.197522,0.7774,0.6127,-0.1637,0.0061,0.0819,0.0702,
0.297941,0.7862,0.6093,-0.1752,-0.0483,0.0525,0.0092,
0.397955,0.7859,0.6100,-0.1478,-0.0513,0.0312,0.0140,
0.498211,0.7884,0.6098,-0.1473,0.0458,-0.0330,-0.0140,
0.598984,0.7847,0.6064,-0.1642,-0.0128,-0.0238,-0.0092,
0.699569,0.7894,0.6047,-0.1534,0.0281,0.0140,-0.0580,
0.799797,0.7762,0.6193,-0.1322,-0.0043,-0.0263,-0.0092,
0.900221,0.7730,0.6262,-0.1507,0.0574,0.0110,0.0116,
1.000180,0.7810,0.6154,-0.1722,0.0061,0.0067,0.0177,
1.101017,0.7837,0.6103,-0.1573,0.0073,-0.0012,-0.0067,
1.201570,0.7830,0.6095,-0.1659,0.0165,-0.0092,0.0092,
1.301833,0.7793,0.6183,-0.1644,0.0153,-0.0043,-0.0244,
1.402094,0.7749,0.6227,-0.1695,0.0000,-0.0024,-0.0110,
1.503240,0.7691,0.6301,-0.1600,-0.0214,-0.0061,-0.0049,
1.603918,0.7754,0.6220,-0.1622,0.0202,-0.0024,0.0336,
1.704420,0.7823,0.6078,-0.1683,0.0134,-0.0018,0.0195,
1.804862,0.7876,0.6115,-0.1742,0.0037,0.0049,-0.0244,
1.905869,0.7764,0.6200,-0.1642,-0.0134,-0.0269,-0.0385,
2.006755,0.7764,0.6215,-0.1480,0.0440,-0.0171,-0.0324,
2.107415,0.7661,0.6328,-0.1732,-0.0501,-0.0098,-0.0098,
2.207845,0.7674,0.6342,-0.1661,0.0067,0.0031,-0.0098,
2.308716,0.7617,0.6308,-0.1495,0.0312,0.0110,0.0116,
2.408728,0.7840,0.6205,-0.1791,0.0159,-0.0147,0.0116,
2.509538,0.7803,0.6073,-0.1478,0.1313,0.0709,-0.0110,
2.615429,0.7595,0.6369,-0.1649,-0.0794,-0.0336,-0.0446,
