
time,gFx,gFy,gFz,wx,wy,wz,
0.098791,-0.2008,0.4158,0.8810,-0.1600,0.2089,0.0544,
0.198708,-0.2191,0.4080,0.8976,-0.0648,0.0880,0.0348,
0.298709,-0.2199,0.3975,0.9039,-0.0611,0.0727,0.0342,
0.399004,-0.2250,0.3958,0.9254,-0.0037,-0.0128,0.0122,
0.499216,-0.2255,0.4112,0.8641,0.0770,-0.0593,-0.0391,
0.600264,-0.2248,0.4151,0.8922,0.0061,-0.0116,-0.0006,
0.702199,-0.2204,0.4085,0.8976,-0.0067,0.0049,0.0073,
0.802824,-0.2155,0.4038,0.8978,0.0049,-0.0116,-0.0049,
0.903110,-0.2167,0.4041,0.8971,-0.0134,-0.0086,0.0098,
1.003121,-0.2140,0.4065,0.8929,0.0043,-0.0134,0.0086,
1.103151,-0.2147,0.4055,0.8978,0.0037,-0.0049,0.0037,
1.203505,-0.2187,0.4053,0.8993,-0.0067,0.0024,0.0006,
1.303734,-0.2174,0.4073,0.8978,-0.0061,0.0037,-0.0018,
1.404030,-0.2160,0.4048,0.9025,-0.0061,0.0043,0.0037,
1.505384,-0.2125,0.4014,0.9012,0.0208,-0.0214,-0.0037,
1.607237,-0.2103,0.4031,0.9149,0.0116,-0.0269,-0.0287,
1.706019,-0.2101,0.4051,0.9157,-0.0269,0.0006,0.0000,
1.806885,-0.2191,0.4107,0.9054,-0.0018,-0.0189,-0.0061,
1.907850,-0.1928,0.4012,0.9030,0.0574,-0.0580,-0.0348,
2.008487,-0.2018,0.4153,0.8700,0.0293,-0.0147,0.0006,
2.107269,-0.2147,0.4099,0.8863,-0.0153,-0.0055,-0.0079,
