
time,gFx,gFy,gFz,wx,wy,wz,
0.098401,-0.2553,0.2565,0.8929,0.3793,0.7068,0.0947,
0.198535,-0.3327,0.2773,0.9367,-0.0342,0.0996,0.0250,
0.298527,-0.3171,0.2810,0.9113,0.0043,0.1460,-0.0037,
0.398697,-0.3242,0.2746,0.9147,-0.0177,0.0654,0.0183,
0.498922,-0.3435,0.2758,0.9218,-0.0342,-0.0281,-0.0128,
0.599765,-0.3159,0.2621,0.9205,-0.0336,-0.1692,-0.0165,
0.700043,-0.2985,0.2619,0.9289,-0.0232,-0.1643,-0.0342,
0.800282,-0.3174,0.2624,0.9235,0.0006,0.0257,0.0055,
0.900363,-0.3134,0.2590,0.9369,-0.0257,-0.0324,0.0043,
1.001417,-0.3061,0.2590,0.9320,-0.0263,-0.0709,0.0061,
1.100841,-0.3034,0.2577,0.9259,0.0000,-0.0116,0.0043,
1.201714,-0.3073,0.2568,0.9303,-0.0165,-0.0238,-0.0006,
1.302715,-0.3059,0.2546,0.9372,-0.0037,-0.0159,0.0000,
1.403715,-0.3010,0.2563,0.9303,-0.0049,-0.0140,0.0024,
1.505389,-0.3017,0.2585,0.9323,-0.0086,-0.0538,-0.0067,
1.605755,-0.2937,0.2543,0.9379,-0.0189,-0.0373,-0.0147,
1.706625,-0.2939,0.2502,0.9445,0.0214,0.0782,0.0134,
1.806731,-0.3081,0.2617,0.9235,0.0043,-0.0312,-0.0012,
1.907402,-0.2883,0.2558,0.9347,-0.0049,-0.0489,-0.0061,
2.008275,-0.2951,0.2458,0.9501,-0.0226,-0.2370,-0.0385,
2.108077,-0.2409,0.2507,0.9232,-0.0055,-0.0886,0.0263,
2.207990,-0.2658,0.2607,0.9401,-0.0605,0.0110,0.0018,
