
time,gFx,gFy,gFz,wx,wy,wz,
0.097680,-0.1593,0.6525,0.7478,-0.2199,-0.0403,0.0031,
0.197671,-0.1630,0.6469,0.7134,0.0538,0.0079,-0.0110,
0.298060,-0.1664,0.6567,0.7688,0.0641,0.0122,-0.0189,
0.398542,-0.1639,0.6567,0.7593,-0.0318,-0.0128,-0.0104,
0.498830,-0.1649,0.6565,0.7429,-0.0244,-0.0312,0.0140,
0.599718,-0.1622,0.6474,0.7573,-0.0611,-0.0305,0.0226,
0.700060,-0.1561,0.6428,0.7376,-0.0171,-0.0031,0.0061,
0.801128,-0.1608,0.6474,0.7610,-0.0098,0.0037,0.0122,
0.901098,-0.1561,0.6425,0.7576,-0.0006,0.0183,0.0104,
1.002898,-0.1605,0.6479,0.7608,0.0147,0.0079,-0.0024,
1.103408,-0.1625,0.6523,0.7422,0.0257,0.0049,-0.0073,
1.203695,-0.1625,0.6528,0.7625,-0.0073,0.0055,-0.0031,
1.304158,-0.1583,0.6447,0.7490,-0.0012,-0.0110,-0.0086,
1.404778,-0.1647,0.6555,0.7508,0.0214,0.0012,-0.0159,
1.507536,-0.1710,0.6616,0.7493,0.0055,0.0116,0.0140,
1.607905,-0.1603,0.6516,0.7576,-0.0073,-0.0171,0.0269,
1.709214,-0.1588,0.6506,0.7449,-0.0122,-0.0031,0.0079,
1.809306,-0.1586,0.6508,0.7473,-0.0354,0.0128,0.0073,
1.909467,-0.1593,0.6455,0.7564,-0.0110,0.0220,-0.0006,
2.010645,-0.1678,0.6511,0.7591,0.0012,0.0220,-0.0031,
2.111461,-0.1517,0.6455,0.7723,0.0770,0.1155,0.0238,
2.210268,-0.1693,0.6540,0.8013,-0.1588,-0.0666,0.0324,
