
time,gFx,gFy,gFz,wx,wy,wz,
0.096392,0.0508,0.5397,0.8473,0.0929,0.0208,0.0580,
0.196310,0.0506,0.5504,0.8367,0.0935,0.0391,0.0287,
0.296383,0.0528,0.5534,0.8446,0.0464,0.0666,0.0104,
0.396531,0.0457,0.5573,0.8389,0.0116,0.0348,0.0220,
0.496728,0.0437,0.5592,0.8292,-0.0244,-0.0202,0.0000,
0.597771,0.0503,0.5531,0.8419,-0.0257,-0.0073,0.0092,
0.698241,0.0491,0.5516,0.8424,-0.0318,-0.0049,0.0049,
0.799879,0.0508,0.5497,0.8402,-0.0299,-0.0031,0.0098,
0.899906,0.0542,0.5494,0.8436,0.0043,0.0147,0.0061,
1.000658,0.0528,0.5480,0.8453,-0.0073,0.0104,0.0098,
1.105201,0.0542,0.5475,0.8407,-0.0128,0.0086,0.0067,
1.201020,0.0550,0.5490,0.8433,-0.0079,0.0208,0.0061,
1.300862,0.0547,0.5482,0.8473,-0.0043,0.0092,0.0049,
1.401464,0.0506,0.5480,0.8441,-0.0275,0.0018,0.0153,
1.502664,0.0520,0.5477,0.8429,-0.0153,0.0024,-0.0116,
1.604239,0.0525,0.5406,0.8485,-0.0672,-0.0208,-0.0208,
1.704236,0.0550,0.5409,0.8507,-0.0140,-0.0018,0.0049,
1.804599,0.0481,0.5424,0.8521,0.0171,0.0147,-0.0037,
1.904363,0.0537,0.5450,0.8419,-0.0929,0.0037,-0.0140,
