
time,gFx,gFy,gFz,wx,wy,wz,
0.097482,-0.2387,0.8377,0.5235,0.0812,0.1014,-0.0428,
0.197280,-0.2487,0.8343,0.5006,0.0837,0.1002,-0.0983,
0.297582,-0.2609,0.8411,0.5018,0.1252,0.0764,-0.1613,
0.397697,-0.3103,0.8531,0.4749,0.2352,0.0434,-0.1295,
0.497771,-0.3127,0.8661,0.3999,0.1197,0.0202,-0.0330,
0.598831,-0.2836,0.8482,0.4175,-0.0733,-0.0232,0.0043,
0.702864,-0.3010,0.8497,0.4771,-0.0916,-0.0257,0.0037,
0.804219,-0.2922,0.8497,0.4507,0.0018,-0.0385,0.0263,
0.903460,-0.2780,0.8453,0.4583,-0.0458,-0.0702,0.0269,
1.003646,-0.2763,0.8446,0.4637,-0.0501,-0.0104,-0.0049,
1.104634,-0.2861,0.8421,0.4788,-0.0476,-0.0159,-0.0189,
1.204738,-0.2905,0.8411,0.4793,0.0098,-0.0257,-0.0049,
1.306501,-0.2849,0.8433,0.4656,0.0055,-0.0140,-0.0086,
1.408650,-0.2866,0.8409,0.4754,-0.0409,0.0000,-0.0116,
1.509261,-0.2856,0.8389,0.4771,-0.0171,0.0116,-0.0098,
1.609882,-0.2905,0.8385,0.4837,-0.0098,0.0031,-0.0037,
1.710861,-0.2910,0.8397,0.4759,0.0073,0.0104,0.0024,
1.811254,-0.2910,0.8409,0.4803,0.0031,-0.0073,0.0049,
1.914379,-0.2839,0.8355,0.4732,-0.0208,-0.0073,0.0024,
2.014574,-0.2922,0.8375,0.4835,-0.0257,-0.0140,-0.0024,
2.114829,-0.2954,0.8431,0.4893,-0.0220,-0.0330,0.0037,
2.215409,-0.2978,0.8426,0.4893,0.0415,-0.0391,0.0544,
2.316161,-0.2568,0.8196,0.4649,-0.0764,-0.0690,0.0654,
2.416384,-0.2751,0.8365,0.5319,-0.0929,-0.0776,-0.0476,
2.516912,-0.2663,0.8360,0.4871,0.0421,0.0238,0.0293,
2.616456,-0.2680,0.8248,0.5468,0.0189,-0.0214,0.0153,
