
time,gFx,gFy,gFz,wx,wy,wz,
0.097990,-0.1324,0.7229,0.6276,-0.0354,0.0965,-0.0586,
0.198918,-0.2155,0.7727,0.6462,-0.0031,0.0586,-0.0367,
0.297840,-0.1896,0.7652,0.6000,0.0220,0.0660,0.0648,
0.397667,-0.1908,0.7520,0.6249,-0.1130,0.1765,0.0391,
0.502722,-0.2003,0.7412,0.6743,-0.0562,0.0031,-0.0421,
0.602423,-0.2118,0.7434,0.6403,0.0067,0.0110,-0.0611,
0.703789,-0.2323,0.7566,0.6557,0.0556,-0.0483,-0.0324,
0.803464,-0.2257,0.7764,0.6384,0.0244,-0.0611,0.0043,
0.904001,-0.1976,0.7473,0.6393,-0.0208,-0.0562,-0.0275,
1.004198,-0.1998,0.7454,0.6623,0.0904,-0.0867,-0.0330,
1.104466,-0.2267,0.7664,0.6022,0.0318,-0.0049,0.0226,
1.204675,-0.2108,0.7547,0.6586,-0.0293,-0.0067,0.0305,
1.304235,-0.2086,0.7547,0.6494,0.0544,-0.0263,0.0061,
1.405685,-0.1901,0.7537,0.6208,-0.0098,-0.0421,0.0067,
1.506713,-0.2045,0.7561,0.6406,-0.0073,0.0299,0.0183,
1.607827,-0.1923,0.7554,0.6381,-0.0159,-0.0098,0.0428,
1.708316,-0.1893,0.7525,0.6227,-0.0421,0.0507,0.0360,
1.808415,-0.1910,0.7515,0.6550,-0.0159,0.0012,0.0153,
1.909822,-0.1810,0.7498,0.6276,0.0159,0.0238,0.0086,
2.010342,-0.1920,0.7549,0.6442,-0.0153,0.0238,0.0037,
2.110990,-0.1937,0.7549,0.6418,0.0018,-0.0153,0.0000,
2.211140,-0.1996,0.7505,0.6501,-0.0165,-0.0208,-0.0244,
2.311678,-0.2067,0.7571,0.6484,0.0202,-0.0195,-0.0202,
2.412168,-0.1798,0.7471,0.6205,0.0220,0.0385,-0.0250,
2.512826,-0.2086,0.7564,0.6516,-0.0067,-0.0250,-0.0464,
2.613228,-0.1969,0.7512,0.6152,0.0360,-0.0263,-0.0134,
2.713305,-0.2123,0.7554,0.6501,0.0330,-0.0409,-0.0226,
2.814242,-0.1869,0.7510,0.6264,0.0324,-0.0330,-0.0092,
2.914670,-0.2033,0.7605,0.6332,0.0098,0.0220,-0.0049,
3.015720,-0.2047,0.7505,0.6252,-0.0226,-0.0049,-0.0006,
3.114568,-0.2001,0.7556,0.6484,0.0244,-0.0165,-0.0079,
