
time,gFx,gFy,gFz,wx,wy,wz,
0.096764,-0.2861,0.7688,0.5905,0.1625,0.1851,-0.0018,
0.196669,-0.2807,0.7669,0.5387,-0.0171,0.3335,-0.1350,
0.296872,-0.3452,0.7696,0.5490,-0.0513,0.2639,-0.1289,
0.397228,-0.3914,0.7796,0.5651,-0.0580,0.0342,0.0757,
0.497919,-0.3384,0.7515,0.6025,-0.0079,-0.0128,0.0037,
0.598102,-0.3437,0.7608,0.5490,0.0452,-0.0458,-0.0110,
0.698332,-0.3149,0.7564,0.5570,-0.0018,-0.0855,-0.0049,
0.798889,-0.3315,0.7647,0.5658,0.0489,-0.0287,-0.0183,
0.899139,-0.3357,0.7632,0.5641,0.0018,-0.0165,-0.0189,
0.999854,-0.3359,0.7659,0.5565,0.0134,0.0067,-0.0269,
1.100333,-0.3318,0.7639,0.5621,-0.0440,0.0147,-0.0067,
1.200236,-0.3357,0.7617,0.5749,-0.0073,0.0373,-0.0104,
1.300703,-0.3369,0.7578,0.5560,-0.0043,0.0165,0.0018,
1.400618,-0.3442,0.7608,0.5709,-0.0183,-0.0018,-0.0024,
1.501926,-0.3442,0.7564,0.5707,-0.0122,-0.0128,-0.0024,
1.603241,-0.3459,0.7586,0.5744,0.0086,-0.0189,-0.0012,
1.703784,-0.3025,0.7461,0.5617,0.0269,-0.1350,0.0403,
1.804620,-0.3191,0.7586,0.5538,0.0153,-0.0373,-0.0043,
1.906480,-0.3242,0.7617,0.5763,-0.0086,-0.0140,-0.0086,
2.005987,-0.3291,0.7654,0.5731,-0.0287,0.0195,-0.0140,
2.104759,-0.3271,0.7588,0.5964,-0.0263,-0.0586,0.0000,
