
time,gFx,gFy,gFz,wx,wy,wz,
0.098506,-0.0652,0.8389,0.5973,-0.3176,-0.1014,0.1106,
0.198332,-0.0496,0.8167,0.6139,0.4026,0.4612,0.0623,
0.298816,-0.0625,0.8470,0.4950,0.4117,0.2902,0.0996,
0.398804,-0.0897,0.8900,0.4808,-0.0208,0.0605,-0.0782,
0.498996,-0.0950,0.8560,0.4913,-0.1332,0.2132,-0.0605,
0.599725,-0.1114,0.8607,0.5548,-0.0709,-0.0825,-0.0440,
0.699764,-0.0919,0.8475,0.5257,0.0226,-0.1692,-0.0031,
0.800034,-0.0870,0.8553,0.5055,0.0110,-0.1674,-0.0415,
0.900284,-0.1163,0.8768,0.5355,0.0770,-0.1032,0.0031,
1.000717,-0.0948,0.8653,0.4864,0.0476,-0.0593,0.0244,
1.100533,-0.0848,0.8631,0.5204,0.0104,0.0409,0.0067,
1.200914,-0.0870,0.8661,0.5089,0.0147,-0.0507,0.0220,
1.301274,-0.0787,0.8646,0.5116,0.0098,0.0086,0.0092,
1.401680,-0.0845,0.8685,0.4979,-0.0409,-0.0440,-0.0024,
1.501962,-0.0677,0.8570,0.4979,-0.0641,-0.0220,-0.0086,
1.602334,-0.0638,0.8473,0.5480,-0.1710,-0.2388,-0.0367,
1.702339,-0.0643,0.8490,0.5319,0.0739,-0.0861,-0.0483,
1.803602,-0.0528,0.8392,0.4996,-0.0140,0.0134,-0.0128,
1.904138,-0.0508,0.8338,0.4977,0.0312,0.1002,-0.0324,
2.003420,-0.0611,0.8419,0.5973,-0.0434,-0.0440,-0.0232,
