
time,gFx,gFy,gFz,wx,wy,wz,
0.096728,-0.0178,0.4080,0.9169,-0.0446,-0.0067,-0.0220,
0.196231,-0.0435,0.4285,0.9364,0.0550,-0.0067,-0.0257,
0.296488,-0.0437,0.4268,0.8881,0.0202,0.0318,0.0299,
0.396756,-0.0178,0.4195,0.9264,-0.0214,0.0269,0.0293,
0.496905,-0.0264,0.4236,0.8968,0.0269,-0.0232,0.0134,
0.597887,-0.0286,0.4180,0.9176,-0.0153,-0.0086,0.0092,
0.699023,-0.0342,0.4273,0.9064,-0.0043,-0.0055,0.0330,
0.798869,-0.0100,0.4038,0.9301,-0.0232,-0.0024,0.0104,
0.898755,-0.0217,0.4241,0.9091,-0.0073,-0.0250,-0.0024,
0.998849,-0.0125,0.4070,0.9345,-0.0122,-0.0018,-0.0073,
1.099020,-0.0186,0.4141,0.9301,0.0171,0.0037,-0.0342,
1.198911,-0.0413,0.4253,0.9147,0.0342,-0.0067,-0.0159,
1.299465,-0.0340,0.4261,0.9108,0.0079,0.0238,0.0367,
1.399517,-0.0129,0.4231,0.9088,-0.0348,0.0208,0.0373,
1.501030,-0.0213,0.4202,0.9252,0.0055,-0.0232,-0.0214,
1.601425,-0.0279,0.4226,0.9174,-0.0177,-0.0018,-0.0183,
1.705541,-0.0313,0.4222,0.9147,0.0024,-0.0024,-0.0293,
1.805855,-0.0418,0.4258,0.9093,-0.0159,0.0104,0.0122,
1.906505,-0.0283,0.4136,0.9196,-0.0232,0.0098,0.0305,
2.007460,-0.0147,0.4073,0.9306,-0.0299,-0.0073,0.0183,
2.108446,-0.0088,0.3980,0.9376,0.1167,0.1417,-0.0373,
2.207322,-0.0115,0.4190,0.9557,0.0098,-0.0275,0.0104,
