
time,gFx,gFy,gFz,wx,wy,wz,
0.098998,-0.0596,0.2008,0.9941,0.0018,0.0055,-0.0122,
0.198925,-0.0616,0.2025,0.9828,-0.0031,-0.0037,-0.0049,
0.298941,-0.0591,0.2011,0.9921,0.0000,0.0012,0.0037,
0.398954,-0.0596,0.2023,0.9926,0.0043,0.0018,-0.0006,
0.499362,-0.0603,0.2023,0.9936,-0.0012,0.0000,-0.0037,
0.599647,-0.0601,0.2020,0.9919,0.0024,0.0024,-0.0024,
0.700608,-0.0589,0.2033,0.9912,-0.0024,0.0012,-0.0031,
0.801996,-0.0584,0.2006,0.9914,0.0012,-0.0018,-0.0024,
0.900951,-0.0606,0.2008,0.9921,-0.0067,-0.0031,0.0006,
1.001650,-0.0596,0.2001,0.9931,-0.0049,0.0024,0.0000,
1.102742,-0.0603,0.1996,0.9982,0.0098,0.0018,-0.0024,
1.202477,-0.0574,0.1994,0.9897,0.0024,0.0000,-0.0061,
1.304251,-0.0603,0.2003,0.9938,0.0006,0.0000,-0.0006,
1.404450,-0.0574,0.1984,0.9904,-0.0086,0.0006,-0.0024,
1.505721,-0.0596,0.1989,0.9914,-0.0055,0.0000,0.0006,
1.606012,-0.0591,0.1974,0.9936,-0.0037,0.0037,-0.0049,
1.707006,-0.0601,0.1994,0.9921,0.0006,0.0037,-0.0006,
1.808327,-0.0591,0.1967,0.9924,0.0055,0.0037,0.0055,
1.909568,-0.0577,0.1989,0.9933,0.0122,0.0006,-0.0018,
2.010010,-0.0616,0.2001,0.9919,0.0043,0.0006,0.0000,
2.110675,-0.0591,0.1994,0.9902,-0.0018,-0.0012,-0.0006,
2.211442,-0.0591,0.2011,0.9919,0.0024,0.0018,-0.0024,
2.313336,-0.0603,0.2003,0.9882,0.0031,0.0006,-0.0018,
2.413096,-0.0596,0.2006,0.9899,0.0018,0.0000,-0.0031,
2.513673,-0.0591,0.2023,0.9858,0.0073,0.0006,0.0067,
2.613970,-0.0574,0.1984,0.9909,-0.0067,0.0012,-0.0079,
2.713924,-0.0586,0.1991,0.9931,-0.0012,-0.0018,-0.0043,
2.814109,-0.0579,0.2020,0.9899,0.0018,-0.0018,0.0018,
2.914967,-0.0577,0.2020,0.9933,-0.0006,0.0000,-0.0092,
3.015196,-0.0589,0.2001,0.9892,0.0006,-0.0024,0.0012,
3.115495,-0.0599,0.1998,0.9924,-0.0006,-0.0006,0.0024,
3.216608,-0.0606,0.1991,0.9931,-0.0073,0.0012,0.0018,
3.316343,-0.0616,0.2006,0.9880,0.0281,-0.0043,-0.0018,
