
time,gFx,gFy,gFz,wx,wy,wz,
0.098539,-0.2135,0.5433,0.8182,0.0018,-0.0031,-0.0421,
0.198525,-0.2311,0.5536,0.8280,0.0440,0.0134,-0.0024,
0.298032,-0.2226,0.5421,0.8060,0.0104,0.0385,0.0122,
0.399055,-0.2226,0.5524,0.8065,0.0006,0.0159,0.0367,
0.499258,-0.2096,0.5377,0.8287,-0.0220,0.0073,0.0159,
0.599746,-0.2272,0.5543,0.8182,0.0092,-0.0061,0.0092,
0.699548,-0.2147,0.5477,0.8267,-0.0556,-0.0024,0.0360,
0.800714,-0.1984,0.5353,0.8321,0.0061,-0.0403,0.0006,
0.901533,-0.2050,0.5394,0.8157,-0.0024,-0.0208,-0.0287,
1.001611,-0.2260,0.5487,0.8267,-0.0037,0.0055,-0.0177,
1.102518,-0.2128,0.5436,0.8262,-0.0171,0.0263,0.0183,
1.202443,-0.2145,0.5453,0.8314,0.0385,0.0079,0.0061,
1.303171,-0.2113,0.5477,0.8011,0.0043,-0.0024,0.0147,
1.403356,-0.2040,0.5409,0.8265,-0.0171,-0.0043,0.0073,
1.504333,-0.2035,0.5406,0.8331,-0.0073,-0.0031,-0.0238,
1.605531,-0.2174,0.5441,0.8133,0.0299,-0.0079,-0.0318,
1.707685,-0.2287,0.5482,0.8153,-0.0183,0.0098,0.0140,
1.807978,-0.2084,0.5360,0.8140,-0.0299,0.0098,0.0305,
1.908681,-0.2050,0.5328,0.8441,-0.0360,-0.0116,-0.0177,
2.009495,-0.2201,0.5367,0.8431,0.0397,-0.0165,-0.0244,
2.108618,-0.2340,0.5385,0.8968,-0.0079,-0.0629,0.0098,
