
time,gFx,gFy,gFz,wx,wy,wz,
0.098455,0.0195,0.7671,0.6237,-0.0666,0.0165,0.0067,
0.198366,-0.0054,0.7659,0.6809,0.0031,-0.0079,0.0330,
0.298587,0.0188,0.7615,0.6276,0.0134,-0.0159,0.0293,
0.398610,0.0188,0.7530,0.6643,-0.0031,0.0195,-0.0183,
0.499605,0.0037,0.7686,0.6486,0.0275,-0.0049,-0.0037,
0.603618,0.0051,0.7693,0.6479,-0.0153,0.0159,-0.0165,
0.700744,0.0147,0.7630,0.6547,-0.0061,0.0092,-0.0067,
0.800645,0.0164,0.7542,0.6640,-0.0073,-0.0031,-0.0244,
0.900984,-0.0022,0.7715,0.6496,0.0110,-0.0116,-0.0110,
1.001187,0.0071,0.7654,0.6425,-0.0116,0.0140,-0.0067,
1.101432,-0.0042,0.7676,0.6618,-0.0024,0.0031,0.0018,
1.201799,0.0044,0.7661,0.6450,0.0195,-0.0031,-0.0086,
1.302737,0.0051,0.7649,0.6565,-0.0171,0.0037,-0.0037,
1.403256,0.0049,0.7637,0.6594,0.0147,-0.0043,-0.0055,
1.504439,0.0044,0.7644,0.6508,-0.0177,-0.0018,0.0104,
1.615587,0.0017,0.7630,0.6540,0.0043,0.0043,-0.0073,
1.705513,-0.0081,0.7747,0.6528,-0.0086,-0.0043,0.0079,
1.806250,-0.0005,0.7688,0.6565,0.0000,-0.0024,0.0171,
1.906219,0.0042,0.7622,0.6586,-0.0018,0.0012,0.0171,
2.007130,0.0088,0.7654,0.6540,0.0037,-0.0067,0.0153,
2.107549,0.0034,0.7642,0.6567,-0.0018,-0.0098,0.0257,
2.208687,0.0120,0.7627,0.6494,0.0110,0.0043,0.0269,
2.308978,0.0090,0.7642,0.6506,0.0031,-0.0073,0.0214,
2.408177,0.0054,0.7735,0.6457,0.0263,0.0428,0.0159,
