
time,gFx,gFy,gFz,wx,wy,wz,
0.098468,0.0601,0.7346,0.6665,-0.0519,0.0067,-0.0055,
0.198246,0.0520,0.7231,0.7056,0.0238,0.0189,0.0049,
0.299132,0.0479,0.7385,0.6721,-0.0043,0.0226,-0.0293,
0.400586,0.0415,0.7322,0.6914,0.0202,0.0079,-0.0342,
0.501063,0.0369,0.7400,0.6863,-0.0006,0.0220,-0.0360,
0.602718,0.0437,0.7288,0.6904,0.0165,0.0031,-0.0226,
0.703403,0.0379,0.7461,0.6779,0.0122,-0.0067,-0.0226,
0.803465,0.0418,0.7344,0.6765,-0.0165,-0.0024,-0.0086,
0.903356,0.0252,0.7429,0.6946,-0.0092,0.0024,-0.0031,
1.003999,0.0428,0.7319,0.6845,0.0000,0.0043,0.0049,
1.104523,0.0347,0.7417,0.6865,-0.0067,-0.0043,-0.0116,
1.204557,0.0447,0.7275,0.6931,0.0037,-0.0006,-0.0134,
1.305110,0.0388,0.7442,0.6743,0.0012,-0.0018,0.0067,
1.407089,0.0337,0.7327,0.6990,-0.0208,-0.0006,-0.0061,
1.509226,0.0283,0.7422,0.6858,0.0232,0.0006,0.0147,
1.609830,0.0447,0.7315,0.6811,-0.0104,0.0104,0.0012,
1.710424,0.0410,0.7373,0.6892,0.0165,-0.0165,0.0195,
1.811242,0.0403,0.7373,0.6860,-0.0073,-0.0031,0.0257,
1.912930,0.0457,0.7305,0.6975,0.0055,0.0018,0.0257,
2.013627,0.0513,0.7361,0.6855,0.0024,-0.0202,0.0140,
2.113972,0.0550,0.7334,0.6875,-0.0018,-0.0079,0.0208,
2.214760,0.0545,0.7266,0.6894,-0.0061,-0.0165,-0.0086,
2.314734,0.0569,0.7293,0.6831,0.0098,-0.0018,-0.0037,
2.415867,0.0398,0.7415,0.6887,-0.0079,0.0116,0.0061,
2.516800,0.0469,0.7302,0.6841,-0.0092,0.0031,-0.0067,
2.619422,0.0420,0.7371,0.6916,-0.0043,0.0049,-0.0226,
2.717799,0.0406,0.7324,0.6897,-0.0024,0.0067,-0.0208,
2.818393,0.0288,0.7402,0.6968,0.0257,0.0507,-0.0055,
2.917465,0.0151,0.7256,0.7583,0.0006,-0.0067,-0.0318,
