
time,gFx,gFy,gFz,wx,wy,wz,
0.098732,-0.1581,0.8094,0.5277,-0.0183,0.1222,0.0079,
0.198922,-0.1967,0.8270,0.5697,-0.0086,0.1503,0.0238,
0.299189,-0.1925,0.8311,0.5275,0.2272,0.0983,0.0458,
0.399087,-0.1671,0.8177,0.4969,-0.0733,0.0018,0.0202,
0.499314,-0.1847,0.8253,0.5665,-0.0562,-0.0171,-0.0507,
0.600039,-0.1964,0.8272,0.5411,0.0501,-0.0446,-0.0012,
0.703420,-0.1830,0.8262,0.5265,0.0238,-0.0177,0.0006,
0.800698,-0.1832,0.8304,0.5316,0.0073,0.0238,-0.0018,
0.902306,-0.1857,0.8260,0.5289,0.0000,-0.0165,-0.0104,
1.002402,-0.1857,0.8302,0.5299,-0.0244,-0.0385,-0.0018,
1.101976,-0.1686,0.8209,0.5509,-0.0031,-0.0440,0.0000,
1.202374,-0.1703,0.8150,0.5319,0.0000,-0.0202,0.0037,
1.302382,-0.1766,0.8174,0.5499,-0.0177,0.0140,-0.0073,
1.404490,-0.1808,0.8201,0.5397,-0.0428,-0.0018,-0.0061,
1.505792,-0.2028,0.8292,0.5560,-0.0525,-0.0055,-0.0177,
1.605407,-0.1742,0.8155,0.5553,-0.0287,-0.0904,0.0159,
1.714947,-0.1747,0.8138,0.5441,0.0379,0.0018,0.0024,
1.805555,-0.1906,0.8248,0.5697,-0.0721,-0.0385,0.0159,
