
time,gFx,gFy,gFz,wx,wy,wz,
0.098129,-0.2985,0.9504,-0.0533,0.0831,0.1020,0.0354,
0.198113,-0.2961,0.9518,-0.0838,0.0110,0.0367,0.0104,
0.298138,-0.2910,0.9518,-0.0853,0.0788,0.1326,0.0757,
0.398520,-0.2824,0.9530,-0.0836,-0.0189,0.0428,0.0195,
0.498667,-0.2839,0.9530,-0.0848,0.0305,0.0696,0.0470,
0.599229,-0.3039,0.9550,-0.1397,-0.1264,0.0831,0.0446,
0.700318,-0.2778,0.9621,-0.1043,-0.0367,0.0257,0.0012,
0.801070,-0.2797,0.9572,-0.0796,-0.0220,0.0293,-0.0024,
0.900459,-0.2832,0.9611,-0.0721,-0.0049,-0.0043,0.0073,
1.001539,-0.2748,0.9599,-0.0965,0.0024,-0.0782,0.0354,
1.101404,-0.2707,0.9569,-0.0794,-0.0269,0.0244,-0.0086,
1.201704,-0.2756,0.9604,-0.0655,-0.0012,-0.0122,-0.0018,
1.302542,-0.2746,0.9584,-0.0941,-0.0715,0.0153,0.0599,
1.402812,-0.2670,0.9599,-0.0735,-0.0098,0.0153,-0.0134,
1.503876,-0.2739,0.9606,-0.0701,-0.0061,0.0110,-0.0202,
1.603818,-0.2700,0.9599,-0.0726,0.0116,0.0012,-0.0147,
1.704575,-0.2768,0.9606,-0.0667,0.0336,0.0061,-0.0012,
1.805342,-0.2697,0.9589,-0.0831,0.0263,-0.0073,-0.0043,
1.905850,-0.2768,0.9589,-0.0762,0.0391,-0.0336,0.0116,
2.005976,-0.2724,0.9626,-0.0796,0.0116,-0.0202,-0.0128,
2.106767,-0.2690,0.9567,-0.0877,0.0305,-0.0037,-0.0012,
2.208156,-0.2697,0.9577,-0.0926,0.0171,0.0165,0.0018,
2.308605,-0.2692,0.9569,-0.0897,0.0159,0.0299,0.0067,
2.409390,-0.2763,0.9557,-0.0843,-0.0171,-0.0037,-0.0061,
2.510090,-0.2714,0.9606,-0.0894,-0.0183,0.0031,0.0000,
2.610626,-0.2719,0.9567,-0.0865,-0.0104,0.0147,0.0049,
2.711372,-0.2707,0.9587,-0.0875,-0.0312,0.0104,-0.0134,
2.812180,-0.2695,0.9538,-0.0821,-0.0580,0.0043,-0.0593,
2.912447,-0.2871,0.9689,-0.0640,-0.0049,-0.0208,0.0049,
3.013437,-0.2563,0.9479,-0.0975,0.0586,0.0721,0.0006,
3.111929,-0.2927,0.9587,-0.0447,-0.0195,0.0550,-0.0061,
