
time,gFx,gFy,gFz,wx,wy,wz,
0.097065,-0.2707,0.9298,-0.0755,0.4215,0.1216,-0.3629,
0.197038,-0.3237,0.9755,-0.0347,-0.0043,-0.0214,-0.1368,
0.297266,-0.2873,0.9274,-0.0059,0.1820,0.0550,-0.1613,
0.397349,-0.3269,0.9372,-0.0877,0.2004,0.0507,-0.1985,
0.497588,-0.3804,0.9604,-0.0938,0.0617,0.0483,-0.1362,
0.598225,-0.3621,0.9418,-0.0726,-0.0544,0.0122,0.0067,
0.698491,-0.3616,0.9452,-0.0765,-0.0513,0.0104,0.0238,
0.799125,-0.3496,0.9384,-0.0682,-0.1283,0.0159,0.0996,
0.899265,-0.3269,0.9318,-0.0364,-0.0977,-0.0086,0.0134,
1.000157,-0.3437,0.9521,-0.0366,0.0257,0.0220,0.0031,
1.099820,-0.3474,0.9528,-0.0569,0.0971,0.0409,-0.0177,
1.200400,-0.3572,0.9538,-0.0550,-0.0599,-0.0330,0.0489,
1.300874,-0.3166,0.9379,-0.0491,-0.0342,0.0104,0.0336,
1.401003,-0.3327,0.9469,-0.0283,-0.0305,0.0104,0.0458,
1.502492,-0.3237,0.9460,-0.0406,0.0092,0.0073,0.0275,
1.603123,-0.3203,0.9425,-0.0481,-0.0043,-0.0165,-0.0067,
1.704135,-0.3452,0.9508,-0.0320,0.0354,-0.0458,-0.0104,
1.804651,-0.3291,0.9477,-0.0513,0.0189,-0.0165,0.0195,
1.904745,-0.3095,0.9347,-0.0574,-0.0159,0.0037,0.0049,
2.005194,-0.3310,0.9499,-0.0283,-0.0715,-0.0122,0.0031,
2.106085,-0.3379,0.9430,-0.0665,-0.1203,-0.0684,-0.0250,
2.205714,-0.3227,0.9455,0.0037,-0.1466,-0.0367,-0.0012,
2.306865,-0.3247,0.9401,0.0122,0.0287,0.0446,-0.0049,
2.405851,-0.3371,0.9589,-0.0347,-0.1521,-0.0177,-0.0079,
2.506013,-0.3269,0.9401,0.0120,0.1307,0.0238,0.0275,
