
time,gFx,gFy,gFz,wx,wy,wz,
0.098391,-0.1874,0.9665,0.0972,0.2908,0.0220,-0.0654,
0.198132,-0.2172,0.9733,0.0982,0.2065,0.1491,-0.0739,
0.298381,-0.1818,0.9638,0.0696,0.1943,0.1912,-0.1717,
0.398493,-0.2245,0.9758,0.0105,0.2309,0.1148,-0.1643,
0.498761,-0.2350,0.9684,-0.0005,0.1631,0.1698,-0.1747,
0.599506,-0.2839,0.9780,-0.0359,0.0770,0.0458,-0.1295,
0.700188,-0.2968,0.9814,-0.0337,-0.0434,0.0122,0.0250,
0.800554,-0.2546,0.9638,-0.0125,-0.0812,0.0031,0.0702,
0.900810,-0.2382,0.9582,0.0149,-0.0538,-0.0073,0.0550,
1.000814,-0.2443,0.9640,0.0044,0.0006,0.0226,-0.0128,
1.100884,-0.2717,0.9697,0.0059,0.0031,0.0098,-0.0012,
1.201463,-0.2551,0.9699,-0.0093,-0.0238,-0.0128,0.0391,
1.301617,-0.2585,0.9797,-0.0107,-0.0409,-0.0049,0.0629,
1.405611,-0.2541,0.9728,-0.0061,-0.0574,-0.0312,0.1246,
1.503111,-0.2262,0.9689,0.0049,-0.0635,0.0336,0.1277,
1.603188,-0.1827,0.9577,0.0252,-0.0831,0.0263,0.0568,
1.704151,-0.2167,0.9814,0.0310,-0.0171,0.0159,0.0043,
1.805287,-0.2128,0.9694,0.0215,0.0367,0.0073,0.0299,
1.904983,-0.2147,0.9714,0.0037,-0.0360,0.0092,0.0031,
2.005927,-0.2184,0.9802,0.0274,-0.0391,0.0067,0.0000,
2.105735,-0.2174,0.9782,0.0176,-0.0153,0.0110,0.0312,
2.207213,-0.2194,0.9821,0.0059,-0.0800,-0.0110,0.0122,
2.307660,-0.2099,0.9728,0.0379,-0.0434,0.0195,-0.0098,
2.408612,-0.2260,0.9811,0.0423,-0.0244,0.0116,-0.0012,
2.509144,-0.2191,0.9784,0.0142,0.0140,-0.0116,0.0012,
2.609944,-0.2140,0.9740,0.0259,-0.0495,-0.0006,-0.0177,
2.710973,-0.2204,0.9792,0.0420,-0.0684,-0.0177,-0.0244,
2.810270,-0.2233,0.9843,-0.0178,-0.1784,-0.0299,-0.0165,
