
time,gFx,gFy,gFz,wx,wy,wz,
0.096743,-0.1305,0.7894,0.6115,-0.0464,0.0171,-0.0079,
0.196722,-0.1302,0.7886,0.6088,-0.0599,0.0189,0.0079,
0.296971,-0.1141,0.7730,0.6017,-0.0360,0.0153,0.0000,
0.397103,-0.1290,0.7715,0.6318,-0.0776,0.0220,0.0104,
0.497118,-0.1339,0.7723,0.6328,-0.0092,0.0122,-0.0037,
0.598266,-0.1339,0.7696,0.6323,0.0189,-0.0043,-0.0024,
0.698552,-0.1290,0.7701,0.6284,0.0373,-0.0061,0.0159,
0.798559,-0.1331,0.7745,0.6271,0.0086,-0.0049,0.0275,
0.899182,-0.1307,0.7742,0.6193,0.0140,-0.0024,0.0220,
0.999278,-0.1200,0.7723,0.6125,0.0073,0.0000,0.0495,
1.099406,-0.1239,0.7781,0.6203,0.0128,0.0055,-0.0110,
1.199619,-0.1295,0.7745,0.6301,0.0012,0.0104,0.0012,
1.300044,-0.1246,0.7730,0.6266,0.0134,0.0024,0.0079,
1.400380,-0.1266,0.7745,0.6259,0.0104,-0.0104,0.0183,
1.500663,-0.1241,0.7766,0.6127,0.0128,-0.0073,0.0049,
1.601861,-0.1268,0.7810,0.6210,-0.0098,0.0024,0.0208,
1.702833,-0.1317,0.7776,0.6210,0.0177,-0.0140,0.0110,
1.804150,-0.1207,0.7757,0.6130,0.0018,0.0159,-0.0018,
1.904793,-0.1244,0.7747,0.6323,-0.0018,0.0092,0.0006,
2.006275,-0.1251,0.7774,0.6232,-0.0018,0.0012,0.0012,
2.106827,-0.1261,0.7742,0.6259,0.0134,-0.0006,0.0092,
2.207493,-0.1219,0.7759,0.6254,0.0086,-0.0031,0.0043,
2.307831,-0.1231,0.7771,0.6301,0.0483,-0.0586,0.0116,
2.408287,-0.1297,0.7930,0.6078,0.0641,-0.0257,-0.0391,
2.509192,-0.1336,0.7840,0.6037,-0.0733,0.0220,0.0024,
2.609138,-0.1248,0.7806,0.6069,0.0128,0.0202,-0.0018,
2.708936,-0.1251,0.7801,0.6379,0.0330,-0.0250,0.0140,
