
time,gFx,gFy,gFz,wx,wy,wz,
0.098735,0.1698,0.5959,0.7940,-0.0171,-0.0067,0.0159,
0.198720,0.1691,0.5959,0.7969,0.0153,0.0018,-0.0110,
0.299000,0.1727,0.6029,0.7923,0.0073,-0.0012,-0.0092,
0.399360,0.1700,0.5995,0.7938,0.0195,-0.0110,-0.0171,
0.499439,0.1757,0.5998,0.7908,0.0122,-0.0153,-0.0238,
0.600373,0.1703,0.6015,0.7925,0.0012,-0.0043,-0.0177,
0.701409,0.1713,0.6029,0.7911,-0.0049,-0.0012,-0.0055,
0.801623,0.1688,0.6005,0.7933,-0.0012,0.0012,0.0018,
0.901835,0.1727,0.6007,0.7930,-0.0122,0.0043,0.0165,
1.002441,0.1722,0.5990,0.7940,-0.0037,0.0031,0.0110,
1.102856,0.1735,0.6000,0.7950,-0.0079,0.0098,0.0086,
1.205220,0.1722,0.5986,0.7933,0.0006,-0.0006,-0.0098,
1.303647,0.1722,0.5978,0.7959,0.0079,-0.0140,-0.0086,
1.404724,0.1747,0.5993,0.7955,-0.0049,-0.0049,0.0104,
1.506087,0.1713,0.5981,0.7942,-0.0098,0.0037,0.0177,
1.606260,0.1722,0.5976,0.7945,0.0018,0.0086,0.0086,
1.706806,0.1730,0.6000,0.7967,-0.0061,0.0079,0.0067,
1.807930,0.1713,0.5998,0.7959,0.0086,-0.0061,0.0000,
1.907705,0.1727,0.5983,0.7952,0.0049,-0.0116,-0.0012,
2.008807,0.1703,0.5973,0.7972,-0.0012,0.0031,-0.0012,
2.109359,0.1749,0.6103,0.7896,0.1252,0.0281,0.0018,
2.208021,0.1793,0.6005,0.7962,0.0147,0.0110,0.0458,
