
time,gFx,gFy,gFz,wx,wy,wz,
0.097220,0.0850,0.4671,0.8929,0.2651,0.2321,0.0397,
0.198189,0.0589,0.4769,0.8983,-0.1576,-0.0684,-0.0147,
0.298152,0.1046,0.4407,0.9154,0.0208,-0.0067,0.0324,
0.398442,0.0777,0.4644,0.8900,-0.0428,-0.0098,-0.0226,
0.498725,0.0682,0.4547,0.8944,-0.0800,-0.0702,-0.0079,
0.599613,0.0977,0.4434,0.8988,-0.0440,-0.0739,-0.0006,
0.700217,0.0853,0.4515,0.9000,-0.0018,0.0006,-0.0037,
0.800639,0.0860,0.4515,0.9010,0.0391,0.0531,0.0000,
0.901498,0.0743,0.4588,0.8944,0.0287,0.0489,0.0250,
1.001770,0.0850,0.4532,0.8964,-0.0269,-0.0208,-0.0037,
1.101339,0.0928,0.4454,0.8973,-0.0538,-0.1045,-0.0385,
1.202978,0.0901,0.4600,0.8966,-0.0910,0.0324,-0.0586,
1.305849,0.1053,0.4329,0.9047,-0.0336,-0.0122,-0.0250,
1.405006,0.0880,0.4407,0.8995,0.0226,-0.0024,-0.0018,
1.504780,0.1014,0.4336,0.9071,-0.0049,0.0079,0.0055,
1.605249,0.0867,0.4383,0.9100,-0.0312,0.0092,0.0012,
1.705774,0.0872,0.4383,0.9088,0.0238,-0.0073,0.0116,
1.804793,0.0811,0.4358,0.9142,-0.0757,0.0458,-0.0238,
