
time,gFx,gFy,gFz,wx,wy,wz,
0.098560,0.8780,0.3821,-0.3164,-0.0232,0.0831,0.0098,
0.198386,0.8602,0.4202,-0.2653,-0.0281,0.0959,0.0067,
0.298163,0.8744,0.4033,-0.2641,0.1313,0.1203,0.0806,
0.398327,0.8768,0.3904,-0.3098,0.0470,0.1222,0.1002,
0.499342,0.8951,0.3784,-0.2531,-0.0147,0.0305,0.0519,
0.599414,0.9201,0.3557,-0.2453,0.0049,-0.0733,-0.0250,
0.699940,0.8981,0.3630,-0.2919,-0.0018,-0.0550,-0.0263,
0.800785,0.8859,0.3946,-0.2658,0.0006,-0.0098,-0.0415,
0.901340,0.8822,0.3963,-0.2663,0.0452,-0.0037,0.0086,
1.002056,0.8956,0.3819,-0.2817,-0.0110,-0.0428,0.0281,
1.102176,0.8961,0.3711,-0.2802,-0.0941,-0.0806,-0.0073,
1.203419,0.8871,0.3784,-0.2851,-0.0177,-0.0751,-0.0874,
1.303612,0.8827,0.3862,-0.2814,0.0348,-0.0287,-0.0935,
1.404315,0.8648,0.4183,-0.2954,-0.0403,-0.0305,-0.0525,
1.504830,0.8644,0.4207,-0.2949,-0.0049,-0.0055,0.0079,
1.605442,0.8778,0.4051,-0.2878,-0.0018,-0.0354,0.0134,
1.706705,0.8756,0.3990,-0.3005,-0.0012,-0.0293,0.0055,
1.806619,0.8780,0.3931,-0.3015,0.0257,0.0171,-0.0031,
1.906484,0.8710,0.4112,-0.2670,-0.0935,-0.0385,-0.0421,
