
time,gFx,gFy,gFz,wx,wy,wz,
0.097428,-0.1031,0.8529,0.5011,-0.0208,0.1093,0.0617,
0.197414,-0.1094,0.8389,0.5775,0.0220,0.2914,0.0079,
0.297364,-0.1287,0.8644,0.4823,0.2682,0.2236,0.0544,
0.397708,-0.1283,0.8724,0.4485,0.0611,0.1179,0.0073,
0.497843,-0.1336,0.8719,0.4700,-0.0764,0.0409,-0.0428,
0.598689,-0.1454,0.8744,0.5079,-0.0061,-0.0086,-0.0324,
0.698913,-0.1441,0.8692,0.4764,-0.0360,-0.0354,-0.0183,
0.799133,-0.1437,0.8744,0.4771,0.0147,0.0324,0.0043,
0.899395,-0.1405,0.8697,0.4823,-0.0006,0.0073,-0.0073,
0.999344,-0.1395,0.8685,0.4786,-0.0373,0.0000,-0.0299,
1.098879,-0.1415,0.8636,0.4837,-0.0531,-0.0421,-0.0226,
1.201104,-0.1446,0.8592,0.5038,-0.0586,-0.0593,-0.0373,
1.301180,-0.1546,0.8626,0.5126,-0.0116,-0.0458,-0.0220,
1.401765,-0.1498,0.8604,0.4972,-0.0269,-0.0177,-0.0122,
1.503409,-0.1422,0.8548,0.5025,-0.0250,-0.0214,-0.0098,
1.603791,-0.1336,0.8473,0.5084,-0.0715,-0.1020,-0.0275,
1.705113,-0.1498,0.8531,0.5255,-0.0018,0.0067,-0.0067,
1.803863,-0.1371,0.8521,0.5089,-0.0342,-0.0556,0.0049,
