
time,gFx,gFy,gFz,wx,wy,wz,
0.097981,-0.0125,0.8353,0.5309,0.0305,0.3629,0.0495,
0.197891,-0.0533,0.8499,0.5294,0.0727,0.3812,0.0904,
0.298062,-0.0127,0.8477,0.5194,0.0690,0.2529,0.0098,
0.398567,-0.0682,0.8717,0.5338,0.0770,0.1246,0.0360,
0.498864,-0.0474,0.8714,0.4791,0.1313,0.1680,0.0043,
0.599638,-0.0249,0.8634,0.4740,-0.0244,-0.0391,0.0061,
0.699152,-0.0525,0.8724,0.5123,0.0006,-0.0666,-0.0348,
0.801192,-0.0447,0.8683,0.4984,-0.0140,-0.0806,-0.0415,
0.901609,-0.0545,0.8766,0.4925,-0.0159,-0.0104,-0.0312,
1.002810,-0.0611,0.8685,0.5062,-0.0177,0.0263,-0.0122,
1.102999,-0.0594,0.8710,0.4962,0.0000,0.0183,-0.0165,
1.203272,-0.0589,0.8661,0.4962,-0.0299,0.0061,-0.0220,
1.303697,-0.0616,0.8675,0.5023,-0.0183,-0.0037,-0.0238,
1.404922,-0.0559,0.8578,0.5096,-0.0299,-0.0898,-0.0263,
1.505870,-0.0513,0.8609,0.5023,-0.0183,-0.0947,-0.0287,
1.605934,-0.0564,0.8646,0.5055,-0.1112,-0.0837,-0.0403,
1.706086,-0.0533,0.8531,0.5192,-0.0764,-0.0281,-0.0079,
1.806331,-0.0601,0.8551,0.5372,-0.0354,-0.0312,-0.0049,
1.906788,-0.0542,0.8521,0.5194,-0.0641,-0.0489,-0.0275,
2.007464,-0.0459,0.8436,0.5443,-0.1460,-0.1148,-0.0342,
2.108531,-0.0628,0.8458,0.5470,0.0232,0.0110,0.0049,
2.207414,-0.0542,0.8517,0.5289,-0.0580,-0.0299,-0.0043,
2.307719,-0.0537,0.8455,0.5643,0.0635,-0.0281,0.0226,
